"device type" time pose "pose - last_pose" vel "comanded vel" "Nocap C_vel"
E 1401.902806142 34.0 0.0 0.0 0 0
H 1401.906263512 4.0 0.0 0.0 0 0
E 1401.951921992 34.0 0.0 0.0 0 0
H 1401.955249036 4.0 0.0 0.0 0 0
E 1402.030611084 34.0 0.0 0.0 0 0
H 1402.033847926 4.0 0.0 0.0 0 0
E 1402.079613240 34.0 0.0 0.0 0 0
H 1402.082994464 4.0 0.0 0.0 0 0
E 1402.128615536 34.0 0.0 0.0 0 0
H 1402.131940522 4.0 0.0 0.0 0 0
E 1402.177731442 34.0 0.0 0.0 0 0
H 1402.181191262 4.0 0.0 0.0 0 0
E 1402.236420380 34.0 0.0 0.0 0 0
H 1402.239747158 4.0 0.0 0.0 0 0
E 1402.285422844 34.0 0.0 0.0 0 0
H 1402.288747942 4.0 0.0 0.0 0 0
E 1402.334424972 34.0 0.0 0.0 0 0
H 1402.337897658 4.0 0.0 0.0 0 0
E 1402.383540892 34.0 0.0 0.0 0 0
H 1402.386867726 4.0 0.0 0.0 0 0
E 1402.442229886 34.0 0.0 0.0 0 0
H 1402.445689188 4.0 0.0 0.0 0 0
E 1402.491232126 34.0 0.0 0.0 0 0
H 1402.494559730 4.0 0.0 0.0 0 0
E 1402.540234240 34.0 0.0 0.0 0 0
H 1402.543558190 4.0 0.0 0.0 0 0
E 1402.589903692 34.0 0.0 0.0 0 0
H 1402.593376490 4.0 0.0 0.0 0 0
E 1402.648039336 34.0 0.0 0.0 0 0
H 1402.651497042 4.0 0.0 0.0 0 0
E 1402.697041660 34.0 0.0 0.0 0 0
H 1402.700364770 4.0 0.0 0.0 0 0
E 1402.746043774 34.0 0.0 0.0 0 0
H 1402.749366786 4.0 0.0 0.0 0 0
E 1402.795159876 34.0 0.0 0.0 0 0
H 1402.798630546 4.0 0.0 0.0 0 0
E 1402.853848898 34.0 0.0 0.0 0 0
H 1402.857176026 4.0 0.0 0.0 0 0
E 1402.902850872 34.0 0.0 0.0 0 0
H 1402.906309124 4.0 0.0 0.0 0 0
E 1402.951853266 34.0 0.0 0.0 0 0
H 1402.955181038 4.0 0.0 0.0 0 0
E 1403.020969158 34.0 0.0 0.0 0 0
H 1403.024349136 5.0 0.0 14.457532141507938 0 0
E 1403.079658026 34.0 0.0 0.0 0 0
H 1403.082980478 5.0 0.0 0.0 0 0
E 1403.128660588 34.0 0.0 0.0 0 0
H 1403.132076266 5.0 0.0 0.0 0 0
E 1403.177662632 34.0 0.0 0.0 0 0
H 1403.181223280 5.0 0.0 0.0 0 0
E 1403.226779700 34.0 0.0 0.0 0 0
H 1403.230339480 5.0 0.0 0.0 0 0
E 1403.285467476 34.0 0.0 0.0 0 0
H 1403.288882692 5.0 0.0 0.0 0 0
E 1403.334469716 34.0 0.0 0.0 0 0
H 1403.337885310 5.0 0.0 0.0 0 0
E 1403.383471956 34.0 0.0 0.0 0 0
H 1403.387074884 6.0 0.0 20.329511290376537 29.980000000000004 29.980000000000004
E 1403.432589444 34.0 0.0 0.0 0 0
H 1403.436092790 9.0 0.0 61.202124790866016 89.94000000000001 89.94000000000001
E 1403.491276870 34.0 0.0 0.0 0 0
H 1403.494692058 14.0 0.0 85.32529791998726 100 100
E 1403.540279222 34.0 0.0 0.0 0 0
