device_type time pose pose-last_pose vel comanded_vel Nocap_C_vel
E 2285.511289212 48.0 0.0 0.0 0 0
H 2285.514617166 3.0 0.0 0.0 0 0
E 2285.569979984 48.0 0.0 0.0 0 0
H 2285.573433322 3.0 0.0 0.0 0 0
E 2285.618982126 49.0 0.0 20.407271175997035 0 0
H 2285.622437886 3.0 0.0 0.0 0 0
E 2285.667984520 49.0 0.0 0.0 0 0
H 2285.671312096 3.0 0.0 0.0 0 0
E 2285.717098690 48.0 0.0 -20.360722781251198 0 0
H 2285.720424656 3.0 0.0 0.0 0 0
E 2285.775789280 48.0 0.0 0.0 0 0
H 2285.779116632 4.0 0.0 17.038104152470915 0 0
E 2285.824791618 48.0 0.0 0.0 0 0
H 2285.828251480 4.0 0.0 0.0 0 0
E 2285.873794082 48.0 0.0 0.0 0 0
H 2285.877246384 5.0 0.0 20.41028593495579 59.96000000000001 59.96000000000001
E 2285.922909316 48.0 0.0 0.0 0 0
H 2285.926234848 8.0 0.0 61.23890718422299 129.91333333333336 100
E 2286.001598660 48.0 0.0 0.0 0 0
H 2286.004944394 15.0 0.0 88.93457472105823 159.89333333333335 100
E 2286.050600998 48.0 0.0 0.0 0 0
H 2286.053925830 20.0 0.0 102.0794898707218 169.88666666666668 100
E 2286.099603336 48.0 0.0 0.0 0 0
H 2286.102927328 26.0 0.0 122.44523626591143 199.86666666666667 100
E 2286.148718458 48.0 0.0 0.0 0 0
H 2286.152321470 33.0 0.0 141.71721010970157 229.8466666666667 100
E 2286.207408138 48.0 0.0 0.0 0 0
H 2286.210910602 41.0 0.0 136.5440949020651 249.83333333333334 100
E 2286.256410434 49.0 0.0 20.407207041974292 0 0
H 2286.259914382 49.0 0.0 163.2527123417129 229.8466666666667 100
E 2286.305412814 49.0 0.0 0.0 0 0
H 2286.309044988 55.0 0.0 122.12346820970625 249.83333333333334 100
E 2286.354527950 49.0 0.0 0.0 0 0
H 2286.358031002 62.0 0.0 142.89793000889466 269.82 100
E 2286.413217672 49.0 0.0 0.0 0 0
H 2286.416721844 70.0 0.0 136.30746684458097 249.83333333333334 100
E 2286.462219744 49.0 0.0 0.0 0 0
H 2286.465723202 76.0 0.0 122.44558610059391 229.8466666666667 100
E 2286.511222166 49.0 0.0 0.0 0 0
H 2286.514827082 80.0 0.0 81.45995795024504 199.86666666666667 100
E 2286.560337330 49.0 0.0 0.0 0 0
H 2286.563968748 85.0 0.0 101.74665221932158 169.88666666666668 100
E 2286.619027094 49.0 0.0 0.0 0 0
H 2286.622529012 90.0 0.0 85.38212874194477 129.91333333333336 100
E 2286.668029222 49.0 0.0 0.0 0 0
H 2286.671631366 93.0 0.0 61.096867168723406 79.94666666666667 79.94666666666667
E 2286.717031504 49.0 0.0 0.0 0 0
H 2286.720532512 95.0 0.0 40.89883701299499 39.973333333333336 39.973333333333336
E 2286.766700200 48.0 0.0 -20.133405555875164 0 0
H 2286.770201362 95.0 0.0 0.0 0 0
E 2286.824836474 48.0 0.0 0.0 0 0
H 2286.828588572 95.0 0.0 0.0 0 0
E 2286.873838630 48.0 0.0 0.0 0 0
H 2286.877342928 95.0 0.0 0.0 0 0
E 2286.922840786 48.0 0.0 0.0 0 0
H 2286.926256842 94.0 0.0 -20.44408059434082 0 0
E 2286.971956188 48.0 0.0 0.0 0 0
H 2286.975367218 94.0 0.0 0.0 0 0
E 2287.050645616 48.0 0.0 0.0 0 0
H 2287.053971624 94.0 0.0 0.0 0 0
E 2287.099648052 48.0 0.0 0.0 0 0
H 2287.102982838 93.0 0.0 -20.40349377998423 0 0
E 2287.148650124 48.0 0.0 0.0 0 0
H 2287.151977644 93.0 0.0 0.0 -69.95333333333333 -69.95333333333333
E 2287.197764350 48.0 0.0 0.0 0 0
H 2287.201090932 89.0 0.0 -81.44435371515009 -119.92000000000002 -100
E 2287.256455150 48.0 0.0 0.0 0 0
H 2287.259994798 83.0 0.0 -101.8608863465131 -199.86666666666667 -100
E 2287.305457236 48.0 0.0 0.0 0 0
H 2287.308872200 78.0 0.0 -102.29676282708965 -239.84000000000003 -100
E 2287.354459504 48.0 0.0 0.0 0 0
H 2287.357962878 72.0 0.0 -122.22279757564756 -239.84000000000003 -100
E 2287.403574612 48.0 0.0 0.0 0 0
H 2287.407077594 65.0 0.0 -142.52347504135227 -239.84000000000003 -100
E 2287.462264502 48.0 0.0 0.0 0 0
H 2287.465866044 58.0 0.0 -119.07100799548553 -229.8466666666667 -100
E 2287.511266798 47.0 0.0 -20.40720704178491 0 0
H 2287.514894534 51.0 0.0 -142.77412989822741 -239.84000000000003 -100
E 2287.560269234 47.0 0.0 0.0 0 0
H 2287.563770718 44.0 0.0 -143.2190369043866 -269.82 -100
E 2287.609383894 47.0 0.0 0.0 0 0
H 2287.612984904 37.0 0.0 -142.23541155397731 -279.81333333333333 -100
E 2287.668074064 46.0 0.0 -17.038628444973444 0 0
H 2287.671576598 29.0 0.0 -136.53812432887818 -299.8 -100
E 2287.717076290 46.0 0.0 0.0 0 0
H 2287.720578236 24.0 0.0 -102.03740536102329 -329.78000000000003 -100
E 2287.766078446 46.0 0.0 0.0 19.986666666666668 19.986666666666668
H 2287.769580504 16.0 0.0 -163.2577496220944 -359.76000000000005 -100
E 2287.815193064 46.0 0.0 0.0 69.95333333333333 69.95333333333333
H 2287.818893908 8.0 0.0 -162.22769776667667 -379.74666666666667 -100
E 2287.873883556 47.0 0.0 17.038534964166093 99.93333333333334 99.93333333333334
H 2287.877387336 3.0 0.0 -85.4796884189846 -379.74666666666667 -100
E 2287.922885656 48.0 0.0 20.40728866719854 149.9 100
H 2287.926389618 3.0 0.0 0.0 -369.7533333333334 -100
E 2287.971888008 50.0 0.0 40.81436744087851 179.88000000000002 100
H 2287.975388526 3.0 0.0 0.0 -349.7666666666667 -100
E 2288.041002668 51.0 0.0 14.468710400907247 149.9 100
H 2288.044602796 3.0 0.0 0.0 -309.79333333333335 -100
E 2288.099692712 53.0 0.0 34.077330049466916 79.94666666666667 79.94666666666667
H 2288.103106962 3.0 0.0 0.0 -289.8066666666667 -100
E 2288.148695134 53.0 0.0 0.0 19.986666666666668 19.986666666666668
H 2288.152287548 3.0 0.0 0.0 -259.8266666666667 -100
E 2288.197697402 53.0 0.0 0.0 0 0
H 2288.201288836 3.0 0.0 0.0 -229.8466666666667 -100
E 2288.246812062 53.0 0.0 0.0 0 0
H 2288.250531988 3.0 0.0 0.0 -189.87333333333333 -100
E 2288.305502288 51.0 0.0 -34.077224374793495 0 0
H 2288.309090166 3.0 0.0 0.0 -129.91333333333336 -100
E 2288.354504486 51.0 0.0 0.0 0 0
H 2288.358180424 3.0 0.0 0.0 -89.94000000000001 -89.94000000000001
E 2288.403506768 51.0 0.0 0.0 0 0
H 2288.407183840 3.0 0.0 0.0 -59.96000000000001 -59.96000000000001
E 2288.452621414 50.0 0.0 -20.360525453077457 0 0
H 2288.456446368 3.0 0.0 0.0 -29.980000000000004 -29.980000000000004
E 2288.511311850 50.0 0.0 0.0 0 0
H 2288.514989062 3.0 0.0 0.0 0 0
E 2288.560313866 50.0 0.0 0.0 0 0
H 2288.563990308 3.0 0.0 0.0 0 0
E 2288.609316064 50.0 0.0 0.0 0 0
H 2288.613139450 3.0 0.0 0.0 0 0
E 2288.658430920 50.0 0.0 0.0 0 0
H 2288.662110106 3.0 0.0 0.0 0 0
E 2288.717120992 50.0 0.0 0.0 0 0
H 2288.720799870 3.0 0.0 0.0 0 0
E 2288.766123260 50.0 0.0 0.0 0 0
H 2288.769946730 3.0 0.0 0.0 0 0
E 2288.815125570 50.0 0.0 0.0 39.973333333333336 39.973333333333336
H 2288.818804994 3.0 0.0 0.0 0 0
E 2288.864793748 51.0 0.0 20.13361553143846 239.84000000000003 100
H 2288.868472766 3.0 0.0 0.0 0 0
E 2288.922930456 54.0 0.0 51.6025090379307 389.74 100
H 2288.926737336 3.0 0.0 0.0 0 0
E 2288.971932612 58.0 0.0 81.6290613826653 479.68000000000006 100
H 2288.975612582 3.0 0.0 0.0 0 0
E 2289.040934978 63.0 0.0 72.46128342861017 529.6466666666668 100
H 2289.044611168 3.0 0.0 0.0 0 0
E 2289.090049792 69.0 0.0 122.16273485238412 539.64 100
H 2289.093823296 3.0 0.0 0.0 0 0
E 2289.148739990 76.0 0.0 119.27034221280644 549.6333333333333 100
H 2289.152506676 3.0 0.0 0.0 0 0
E 2289.197742048 81.0 0.0 102.03653079309707 559.6266666666667 100
H 2289.201509308 3.0 0.0 0.0 0 0
E 2289.246744274 87.0 0.0 122.44341716210384 569.62 100
H 2289.250512192 3.0 0.0 0.0 0 0
E 2289.295859102 92.0 0.0 101.80225002465475 569.62 100
H 2289.299752740 3.0 0.0 0.0 0 0
E 2289.354549300 98.0 0.0 102.23172189669124 569.62 100
H 2289.358502088 3.0 0.0 0.0 0 0
E 2289.403551414 102.0 0.0 81.62913134743134 579.6133333333333 100
H 2289.407494948 3.0 0.0 0.0 0 0
E 2289.452553724 107.0 0.0 102.03600605745423 579.6133333333333 100
