device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 3379.346486182 1.0 100.0 100.0 10 10
H 3379.350676382 1.0 100.0 100.0 10 10
E 3379.405174126 1.0 100.0 100.0 10 10
H 3379.409112732 1.0 100.0 100.0 10 10
E 3379.464107924 2.0 100.0 100.0 10 10
H 3379.468051178 1.0 100.0 100.0 10 10
E 3379.522779418 2.0 100.0 100.0 10 10
H 3379.526718374 1.0 100.0 100.0 10 10
E 3379.581696934 2.0 100.0 100.0 10 10
H 3379.585640566 1.0 100.0 100.0 10 10
E 3379.640384780 1.0 100.0 100.0 10 10
H 3379.644569254 1.0 100.0 100.0 10 10
E 3379.699187482 2.0 100.0 100.0 10 10
H 3379.703130806 1.0 100.0 100.0 10 10
E 3379.758122848 2.0 100.0 100.0 10 10
H 3379.762062392 1.0 100.0 100.0 10 10
E 3379.816907770 1.0 100.0 100.0 10 10
H 3379.820850142 1.0 100.0 100.0 10 10
E 3379.875595672 1.0 100.0 100.0 10 10
H 3379.879534978 1.0 100.0 100.0 10 10
E 3379.924597828 2.0 100.0 100.0 10 10
H 3379.928785228 1.0 100.0 100.0 10 10
E 3380.003400530 2.0 100.0 100.0 10 10
H 3380.007162428 1.0 100.0 100.0 10 10
E 3380.062317892 1.0 100.0 100.0 10 10
H 3380.066168186 1.0 100.0 100.0 10 10
E 3380.121005752 1.0 100.0 100.0 10 10
H 3380.125192984 1.0 100.0 100.0 10 10
E 3380.179808594 1.0 100.0 100.0 10 10
H 3380.183743532 1.0 100.0 100.0 10 10
E 3380.238751828 1.0 100.0 100.0 10 10
H 3380.242693374 1.0 100.0 100.0 10 10
E 3380.297528644 1.0 100.0 100.0 10 10
H 3380.301463680 1.0 100.0 100.0 10 10
E 3380.356216588 2.0 100.0 100.0 10 10
H 3380.360159212 1.0 100.0 100.0 10 10
E 3380.405218856 1.0 100.0 100.0 10 10
