device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T
E 1426.558965148 27.0 68.0 40.0 50 50
H 1426.562772798 5.0 7.0 14.0 50 50
E 1426.607967304 27.0 72.0 36.0 50 50
H 1426.611644866 5.0 7.0 13.0 50 50
E 1426.656969670 28.0 75.0 33.0 50 50
H 1426.660791992 5.0 7.0 13.0 50 50
E 1426.706085842 28.0 80.0 30.0 50 50
H 1426.709763124 5.0 8.0 13.0 50 50
E 1426.764774556 29.0 88.0 28.0 50 50
H 1426.768555284 5.0 8.0 14.0 50 50
E 1426.813776796 33.0 100.0 26.0 50 50
H 1426.817632774 5.0 8.0 14.0 50 50
E 1426.862779036 37.0 100.0 25.0 50 50
H 1426.866634020 5.0 8.0 13.0 50 50
E 1426.911895320 42.0 100.0 24.0 50 50
H 1426.915995150 5.0 8.0 13.0 50 50
E 1426.970583908 49.0 100.0 23.0 50 50
H 1426.974435714 5.0 8.0 13.0 50 50
E 1427.039586092 54.0 100.0 22.0 50 50
H 1427.043352162 5.0 7.0 12.0 50 50
E 1427.088588458 59.0 100.0 22.0 50 50
H 1427.092455622 5.0 7.0 11.0 50 50
E 1427.137704728 64.0 100.0 21.0 50 50
H 1427.141690500 5.0 7.0 10.0 50 50
E 1427.196393428 70.0 100.0 20.0 50 50
H 1427.200249392 5.0 7.0 10.0 50 50
E 1427.245395584 75.0 100.0 18.0 50 50
H 1427.249350290 5.0 6.0 9.0 50 50
E 1427.294397950 81.0 100.0 17.0 50 50
H 1427.298252682 5.0 6.0 8.0 50 50
E 1427.344067584 86.0 100.0 17.0 50 50
H 1427.348053468 5.0 7.0 8.0 50 50
E 1427.402202766 91.0 100.0 16.0 50 50
H 1427.406057176 5.0 7.0 7.0 50 50
E 1427.451205034 96.0 100.0 15.0 50 50
H 1427.455156688 5.0 8.0 7.0 50 50
E 1427.500207330 101.0 100.0 14.0 50 50
H 1427.504148316 5.0 9.0 6.0 50 50
E 1427.549323642 105.0 100.0 14.0 50 50
H 1427.553410648 5.0 10.0 5.0 50 50
E 1427.608012202 110.0 100.0 13.0 50 50
H 1427.612050180 5.0 11.0 5.0 50 50
E 1427.657014680 114.0 100.0 12.0 50 50
H 1427.660956702 5.0 10.0 5.0 50 50
E 1427.706016808 117.0 100.0 12.0 50 50
H 1427.710101812 5.0 9.0 4.0 50 50
E 1427.755132910 120.0 100.0 12.0 50 50
H 1427.759073840 5.0 8.0 4.0 50 50
E 1427.813821582 123.0 100.0 12.0 50 50
H 1427.817762470 5.0 7.0 4.0 50 50
E 1427.862823766 125.0 94.0 11.0 50 50
H 1427.866592146 5.0 7.0 4.0 50 50
E 1427.911826020 125.0 87.0 11.0 50 50
H 1427.915836040 5.0 7.0 3.0 50 50
E 1427.960942318 125.0 81.0 11.0 50 50
H 1427.964709508 5.0 6.0 4.0 50 50
E 1428.039631046 125.0 77.0 10.0 50 50
H 1428.043308398 5.0 7.0 5.0 50 50
E 1428.088633174 125.0 73.0 10.0 50 50
H 1428.092310498 5.0 7.0 5.0 50 50
E 1428.137635484 125.0 70.0 10.0 50 50
H 1428.141503670 5.0 6.0 5.0 50 50
E 1428.186751852 125.0 70.0 10.0 50 50
H 1428.190662178 5.0 6.0 6.0 50 50
E 1428.245440510 125.0 69.0 11.0 50 50
H 1428.249202576 5.0 6.0 6.0 50 50
E 1428.294442638 125.0 66.0 11.0 50 50
H 1428.298207854 5.0 6.0 6.0 50 50
E 1428.343444766 125.0 64.0 10.0 50 50
H 1428.347313582 5.0 6.0 6.0 50 50
E 1428.392561260 125.0 63.0 10.0 50 50
H 1428.396327428 5.0 6.0 6.0 50 50
E 1428.451249834 125.0 64.0 10.0 50 50
H 1428.455160580 5.0 6.0 6.0 50 50
E 1428.500252032 125.0 61.0 10.0 50 50
H 1428.504017430 5.0 5.0 6.0 50 50
E 1428.549254230 125.0 57.0 10.0 50 50
H 1428.553020678 5.0 5.0 6.0 50 50
E 1428.598370850 124.0 52.0 9.0 50 50
H 1428.602088382 5.0 5.0 6.0 50 50
E 1428.657059270 123.0 48.0 9.0 50 50
H 1428.660646098 5.0 5.0 5.0 50 50
E 1428.706061468 122.0 45.0 8.0 50 50
H 1428.709794498 5.0 5.0 5.0 50 50
E 1428.755063638 122.0 42.0 8.0 50 50
H 1428.758651250 5.0 5.0 5.0 50 50
E 1428.804180440 121.0 40.0 8.0 50 50
H 1428.807770446 5.0 5.0 5.0 50 50
E 1428.862868510 121.0 38.0 7.0 50 50
H 1428.866601932 5.0 5.0 5.0 50 50
E 1428.911870932 121.0 36.0 7.0 50 50
H 1428.915462254 5.0 5.0 5.0 50 50
E 1428.960873046 121.0 34.0 7.0 50 50
H 1428.964606706 5.0 5.0 5.0 50 50
E 1429.029989834 121.0 31.0 6.0 50 50
H 1429.033492102 5.0 4.0 4.0 50 50
E 1429.088678002 121.0 30.0 6.0 50 50
H 1429.092179304 5.0 4.0 5.0 50 50
E 1429.137680284 121.0 29.0 6.0 50 50
H 1429.141413790 5.0 5.0 9.0 50 50
E 1429.186682524 121.0 27.0 6.0 50 50
H 1429.190274364 5.0 5.0 16.0 50 50
E 1429.235799340 120.0 24.0 7.0 50 50
H 1429.239518188 5.0 6.0 23.0 50 50
E 1429.294487410 119.0 21.0 9.0 50 50
H 1429.298078676 5.0 6.0 34.0 50 50
E 1429.343489720 118.0 20.0 13.0 50 50
H 1429.347255286 5.0 6.0 41.0 50 50
E 1429.392491792 117.0 19.0 16.0 50 50
H 1429.396401712 5.0 7.0 44.0 50 50
E 1429.442162056 116.0 18.0 18.0 50 50
H 1429.445927482 5.0 7.0 46.0 50 50
E 1429.500296776 114.0 16.0 23.0 50 50
H 1429.504063112 5.0 7.0 47.0 50 50
E 1429.549299016 113.0 15.0 28.0 50 50
H 1429.553063084 5.0 7.0 48.0 50 50
E 1429.598301326 111.0 15.0 33.0 50 50
H 1429.602068684 5.0 8.0 49.0 50 50
E 1429.647418324 109.0 15.0 37.0 50 50
H 1429.651184086 5.0 8.0 50.0 50 50
E 1429.706106128 107.0 14.0 39.0 50 50
H 1429.710144876 5.0 7.0 52.0 50 50
E 1429.755108494 105.0 15.0 42.0 50 50
H 1429.758876062 5.0 7.0 52.0 50 50
E 1429.804110734 104.0 18.0 43.0 50 50
H 1429.807874256 5.0 7.0 52.0 50 50
E 1429.853227270 102.0 23.0 45.0 50 50
H 1429.856994362 5.0 7.0 51.0 50 50
E 1429.911915718 100.0 25.0 46.0 50 50
H 1429.915955180 5.0 7.0 51.0 50 50
E 1429.960917916 99.0 24.0 45.0 50 50
H 1429.964595912 5.0 7.0 55.0 50 50
E 1430.029920044 98.0 23.0 44.0 50 50
H 1430.033509406 5.0 8.0 61.0 50 50
E 1430.079036902 98.0 23.0 44.0 50 50
H 1430.082625060 4.0 8.0 65.0 50 50
E 1430.137724972 98.0 23.0 44.0 50 50
H 1430.141632750 3.0 7.0 63.0 50 50
E 1430.186727296 98.0 24.0 44.0 50 50
H 1430.190406804 4.0 7.0 62.0 50 50
E 1430.235729396 98.0 25.0 45.0 50 50
H 1430.239406510 3.0 7.0 63.0 50 50
E 1430.284846226 99.0 24.0 48.0 50 50
H 1430.288525090 4.0 8.0 63.0 50 50
E 1430.343534548 98.0 23.0 51.0 50 50
H 1430.347355288 3.0 8.0 60.0 50 50
