device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value
E 1815.543988004 20.0 19.0 8.0 30 30 1734
H 1815.547609888 96.0 79.0 9.0 30 30 1734
E 1815.592989012 20.0 17.0 7.0 30 30 1734
H 1815.596608502 96.0 77.0 9.0 30 30 1734
E 1815.641995704 20.0 17.0 7.0 30 30 1735
H 1815.645617574 96.0 73.0 9.0 30 30 1735
E 1815.691109006 20.0 17.0 7.0 30 30 1735
H 1815.694926218 96.0 70.0 8.0 30 30 1734
E 1815.749802844 20.0 17.0 7.0 30 30 1735
H 1815.753423482 96.0 67.0 8.0 30 30 1734
E 1815.798805238 20.0 17.0 7.0 30 30 1736
H 1815.802427948 96.0 65.0 7.0 30 30 1735
E 1815.847807856 20.0 18.0 7.0 30 30 1736
H 1815.851429572 96.0 67.0 8.0 30 30 1734
E 1815.896924840 20.0 20.0 7.0 30 30 1735
H 1815.900743088 96.0 70.0 9.0 30 30 1736
E 1815.955613820 22.0 23.0 8.0 30 30 1735
H 1815.959235284 96.0 73.0 9.0 30 30 1736
E 1816.024616914 22.0 27.0 9.0 30 30 1736
H 1816.028149254 96.0 74.0 10.0 30 30 1736
E 1816.073619812 23.0 29.0 10.0 30 30 1736
H 1816.077524678 96.0 77.0 11.0 30 30 1736
E 1816.123289502 24.0 30.0 11.0 30 30 1737
H 1816.127087296 96.0 79.0 11.0 30 30 1737
E 1816.181567064 25.0 31.0 11.0 30 30 1737
H 1816.185343984 96.0 81.0 12.0 30 30 1737
E 1816.230429542 26.0 32.0 11.0 30 30 1740
H 1816.234442670 96.0 84.0 13.0 30 30 1741
E 1816.279432300 26.0 32.0 12.0 30 30 1740
H 1816.283304882 96.0 85.0 15.0 30 30 1741
E 1816.328548052 27.0 33.0 12.0 30 30 1743
H 1816.332324734 96.0 84.0 16.0 30 30 1744
E 1816.387379048 28.0 35.0 13.0 30 30 1745
H 1816.391153280 96.0 83.0 16.0 30 30 1744
E 1816.436240140 28.0 37.0 13.0 30 30 1741
H 1816.440156724 96.0 82.0 15.0 30 30 1741
E 1816.485243262 29.0 37.0 13.0 30 30 1741
H 1816.489254584 96.0 83.0 15.0 30 30 1740
E 1816.544160344 29.0 39.0 14.0 30 30 1741
H 1816.547937208 96.0 86.0 15.0 30 30 1741
E 1816.602850332 29.0 40.0 13.0 30 30 1742
