device_type time pose Bi_cl_effort Tr_op_effort Bi_cl_E_T Tr_op_E_T daq_value_0 daq_value_1
E 885.148326542 121.0 79.0 17.0 50 50 1815 1773
H 885.152104092 5.0 20.0 13.0 50 50 1815 1773
E 885.197328838 121.0 76.0 18.0 50 50 1815 1774
H 885.201150754 5.0 20.0 14.0 50 50 1815 1773
E 885.246443036 121.0 74.0 17.0 50 50 1816 1773
H 885.250121522 5.0 19.0 15.0 50 50 1815 1771
E 885.305133584 121.0 72.0 17.0 50 50 1809 1769
H 885.308811314 5.0 19.0 15.0 50 50 1806 1768
E 885.354136090 121.0 69.0 16.0 50 50 1806 1768
H 885.357814394 5.0 19.0 15.0 50 50 1807 1768
E 885.403138148 121.0 67.0 15.0 50 50 1808 1769
H 885.406915488 5.0 19.0 15.0 50 50 1809 1770
E 885.452252444 121.0 66.0 15.0 50 50 1810 1770
H 885.456075298 5.0 19.0 15.0 50 50 1810 1771
E 885.510943258 121.0 62.0 14.0 50 50 1810 1771
H 885.514619882 5.0 18.0 15.0 50 50 1809 1771
E 885.559945246 120.0 59.0 14.0 50 50 1806 1771
H 885.563623998 5.0 18.0 15.0 50 50 1798 1771
E 885.608947598 119.0 59.0 13.0 50 50 1793 1771
H 885.612769052 5.0 18.0 14.0 50 50 1791 1771
E 885.658063238 118.0 61.0 14.0 50 50 1793 1770
H 885.661883726 5.0 19.0 14.0 50 50 1792 1770
E 885.716752582 118.0 65.0 15.0 50 50 1793 1771
H 885.720431544 5.0 20.0 13.0 50 50 1790 1774
E 885.765754822 118.0 69.0 15.0 50 50 1792 1774
H 885.769577466 5.0 22.0 14.0 50 50 1798 1773
E 885.814757048 118.0 75.0 16.0 50 50 1793 1774
H 885.818435590 5.0 25.0 15.0 50 50 1795 1776
E 885.863871022 118.0 81.0 18.0 50 50 1805 1774
H 885.867546554 5.0 28.0 15.0 50 50 1802 1773
E 885.922562018 119.0 84.0 18.0 50 50 1806 1773
H 885.926482774 5.0 28.0 15.0 50 50 1806 1774
E 885.971564188 119.0 80.0 17.0 50 50 1804 1774
H 885.975243654 5.0 27.0 15.0 50 50 1804 1775
E 886.040566358 119.0 75.0 16.0 50 50 1806 1774
H 886.044155244 5.0 25.0 15.0 50 50 1804 1769
E 886.089680556 119.0 71.0 15.0 50 50 1793 1768
H 886.093368688 5.0 24.0 15.0 50 50 1780 1767
E 886.148371426 119.0 70.0 15.0 50 50 1781 1769
H 886.152047532 5.0 24.0 17.0 50 50 1787 1769
E 886.197373624 119.0 68.0 14.0 50 50 1782 1768
H 886.201052894 5.0 23.0 18.0 50 50 1770 1766
E 886.246375738 119.0 63.0 13.0 50 50 1766 1766
H 886.250053860 5.0 21.0 17.0 50 50 1763 1766
E 886.295491210 118.0 58.0 13.0 50 50 1766 1764
H 886.299313756 5.0 20.0 16.0 50 50 1761 1764
E 886.354180582 117.0 52.0 13.0 50 50 1756 1763
H 886.357985894 5.0 18.0 15.0 50 50 1753 1762
E 886.403183130 116.0 50.0 12.0 50 50 1750 1761
H 886.406860664 5.0 17.0 15.0 50 50 1746 1761
E 886.452185272 114.0 47.0 15.0 50 50 1745 1761
H 886.455995064 5.0 17.0 15.0 50 50 1740 1757
E 886.501300576 113.0 44.0 19.0 50 50 1738 1764
H 886.504978096 5.0 16.0 16.0 50 50 1740 1767
E 886.559990116 112.0 42.0 25.0 50 50 1740 1775
H 886.563668224 5.0 15.0 16.0 50 50 1743 1777
E 886.608992356 111.0 40.0 30.0 50 50 1741 1774
H 886.612955602 5.0 15.0 17.0 50 50 1741 1777
E 886.657994722 110.0 37.0 33.0 50 50 1739 1777
H 886.661673040 5.0 14.0 17.0 50 50 1740 1777
E 886.707109914 109.0 37.0 35.0 50 50 1741 1778
H 886.710786776 5.0 14.0 17.0 50 50 1742 1777
E 886.765799566 107.0 37.0 39.0 50 50 1741 1776
H 886.769609260 5.0 14.0 17.0 50 50 1741 1775
E 886.814801890 107.0 35.0 43.0 50 50 1743 1775
H 886.818480236 5.0 13.0 17.0 50 50 1744 1774
E 886.863804088 106.0 32.0 50.0 50 50 1745 1774
H 886.867623652 5.0 13.0 18.0 50 50 1743 1774
E 886.913472630 105.0 30.0 55.0 50 50 1744 1775
H 886.917281512 5.0 12.0 18.0 50 50 1745 1775
E 886.971609086 104.0 29.0 55.0 50 50 1744 1774
H 886.975287432 5.0 12.0 19.0 50 50 1744 1774
E 887.040611284 103.0 27.0 54.0 50 50 1742 1774
H 887.044200086 5.0 11.0 18.0 50 50 1743 1774
E 887.089613566 103.0 25.0 53.0 50 50 1744 1773
H 887.093203138 5.0 11.0 17.0 50 50 1742 1774
E 887.138727568 103.0 23.0 53.0 50 50 1745 1774
H 887.142537080 5.0 11.0 16.0 50 50 1743 1774
E 887.197418368 103.0 21.0 51.0 50 50 1744 1776
H 887.201097008 5.0 11.0 15.0 50 50 1745 1776
E 887.246420622 103.0 19.0 50.0 50 50 1745 1778
H 887.250098646 5.0 10.0 15.0 50 50 1745 1778
E 887.295422862 103.0 18.0 50.0 50 50 1744 1778
H 887.299243546 5.0 10.0 14.0 50 50 1746 1780
E 887.344538250 103.0 19.0 54.0 50 50 1746 1781
H 887.348214062 5.0 10.0 13.0 50 50 1747 1779
