3.0 100.0 100.0 50.0 50.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
3.0 100.0 100.0 50.0 50.0 60.0 1.67 20.0 1.0 0.0 0.0 1.0 10.0 1000.0 50.0
E 939.738773126 4 10 4 10 72 202 0
H 939.742659078 14 10 14 10 4 202 0
E 939.787776360 4 10 4 10 72 202 0
H 939.791660926 14 10 14 10 4 202 0
E 939.836776794 5 10 5 10 72 202 0
H 939.840659246 17 9 17 9 4 202 0
E 939.885895878 4 10 4 10 72 202 0
H 939.889682780 20 9 20 9 4 202 0
E 939.944581358 4 10 4 10 72 205 0
H 939.948131604 19 9 19 9 4 205 0
E 940.013588610 4 10 4 10 72 205 0
H 940.017048360 18 9 18 9 4 205 0
E 940.062590794 4 10 4 10 72 205 0
H 940.065915780 17 9 17 9 4 205 0
E 940.111709976 4 10 4 10 72 205 0
H 940.115121720 16 9 16 9 4 205 0
E 940.170537682 4 10 4 10 72 205 0
H 940.173955572 15 10 15 10 4 205 0
E 940.219542932 4 10 4 10 72 205 0
H 940.222962110 14 11 14 11 4 205 0
E 940.268545130 4 10 4 10 72 205 0
H 940.271963636 14 11 14 11 4 205 0
E 940.317665474 4 10 4 10 72 205 0
H 940.321272658 14 10 14 10 4 205 0
E 940.376348672 4 10 4 10 72 205 0
H 940.379767290 13 10 13 10 4 205 0
E 940.425354426 4 10 4 10 72 205 0
H 940.428773520 13 10 13 10 4 205 0
E 940.474356526 4 10 4 10 72 205 0
H 940.477775298 12 10 12 10 4 205 0
E 940.523474364 4 10 4 10 72 205 0
H 940.527080190 12 9 12 9 4 205 0
E 940.582163036 4 10 4 10 72 205 0
H 940.585581724 12 9 12 9 4 205 0
E 940.631165682 4 10 4 10 72 205 0
H 940.634585154 12 9 12 9 4 205 0
E 940.680169448 4 10 4 10 72 205 0
H 940.683587282 11 9 11 9 4 205 0
E 940.729288826 4 11 4 11 72 205 0
H 940.732892356 11 9 11 9 4 205 0
E 940.787975118 4 11 4 11 72 205 0
H 940.791393974 11 10 11 10 4 205 0
E 940.836977302 4 11 4 11 72 205 0
H 940.840395612 10 11 10 11 4 205 0
E 940.885981026 5 11 5 11 72 205 0
H 940.889399168 10 11 10 11 4 205 0
E 940.935100474 5 11 5 11 72 205 0
H 940.938701904 10 11 10 11 4 205 0
E 941.013785226 5 11 5 11 72 208 0
H 941.017115126 11 11 11 11 4 208 0
E 941.062777862 4 11 4 11 72 208 0
H 941.066250674 11 11 11 11 4 208 0
E 941.111779976 4 11 4 11 72 208 0
H 941.115533152 11 11 11 11 4 208 0
E 941.160899340 4 11 4 11 72 208 0
H 941.164553144 11 11 11 11 4 208 0
E 941.219585604 4 10 4 10 72 208 0
H 941.223004250 11 11 11 11 4 208 0
E 941.268589048 4 10 4 10 72 208 0
H 941.272005720 11 10 11 10 4 208 0
E 941.317591918 4 11 4 11 72 208 0
H 941.321008464 11 10 11 10 4 208 0
E 941.366711548 4 11 4 11 72 208 0
H 941.370460958 10 10 10 10 4 208 0
E 941.425397266 4 11 4 11 72 208 0
H 941.428816402 10 9 10 9 4 208 0
E 941.474398638 4 11 4 11 72 208 0
H 941.477817802 10 9 10 9 4 208 0
E 941.523403972 4 11 4 11 72 208 0
H 941.526818278 11 9 11 9 4 208 0
E 941.573075734 4 10 4 10 72 208 0
H 941.576489256 11 8 11 8 4 208 0
E 941.631078896 4 10 4 10 72 208 0
H 941.634627462 11 8 11 8 4 208 0
E 941.680082354 4 10 4 10 72 208 0
H 941.683626398 11 9 11 9 4 208 0
E 941.729085420 4 10 4 10 72 208 0
H 941.732633468 11 8 11 8 4 208 0
E 941.778204630 4 10 4 10 72 208 0
H 941.781938010 11 8 11 8 4 208 0
E 941.836891188 4 10 4 10 72 208 0
H 941.840440510 11 9 11 9 4 208 0
E 941.885894114 4 10 4 10 72 208 0
H 941.889443506 11 9 11 9 4 208 0
E 941.934896522 4 10 4 10 72 208 0
H 941.938443534 11 9 11 9 4 208 0
E 942.004016600 4 10 4 10 72 208 0
H 942.007381528 11 9 11 9 4 208 0
E 942.062701772 4 10 4 10 72 208 0
H 942.066031308 12 9 12 9 4 208 0
E 942.111846952 4 10 4 10 72 208 0
H 942.115266396 12 9 12 9 4 208 0
E 942.160851824 4 10 4 10 72 208 0
H 942.164270750 11 9 11 9 4 208 0
E 942.209970166 4 10 4 10 72 208 0
H 942.213575418 11 9 11 9 4 208 0
E 942.268651936 4 10 4 10 72 208 0
H 942.272071184 11 9 11 9 4 208 0
E 942.317659482 4 10 4 10 72 208 0
H 942.321078716 11 9 11 9 4 208 0
E 942.366661792 4 11 4 11 72 208 0
H 942.370076322 11 10 11 10 4 208 0
E 942.415782990 4 10 4 10 72 208 0
