device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,3519.294638624,22,59,96,-2.998046875,-3.212890625
E,3519.343640738,21,62,99,-2.98828125,-3.193359375
E,3519.392758422,21,69,101,-3.125,-3.232421875
E,3519.451445806,22,80,105,-3.14453125,-3.232421875
E,3519.500447962,24,90,110,-3.115234375,-3.2421875
E,3519.549450300,25,99,114,-3.06640625,-3.232421875
E,3519.598567802,25,100,120,-3.076171875,-3.212890625
E,3519.657255200,24,100,127,-3.095703125,-3.232421875
E,3519.706257510,24,100,132,-3.095703125,-3.2421875
E,3519.755259750,24,100,132,-3.134765625,-3.2421875
E,3519.804377182,24,100,132,-3.076171875,-3.232421875
E,3519.863064790,25,100,132,-3.076171875,-3.2421875
E,3519.912066904,25,100,133,-3.0859375,-3.2421875
E,3519.961069228,25,100,133,-3.125,-3.2421875
E,3520.030186506,25,100,132,-3.125,-3.2421875
E,3520.088874128,29,100,133,-3.125,-3.2421875
E,3520.137876368,32,100,133,-3.18359375,-3.251953125
E,3520.186878482,34,100,132,-3.18359375,-3.2421875
E,3520.235995718,37,100,132,-3.203125,-3.251953125
E,3520.294683550,42,100,133,-3.212890625,-3.2421875
E,3520.343685664,45,94,133,-3.22265625,-3.251953125
E,3520.392688058,43,90,133,-3.22265625,-3.2421875
E,3520.441805252,39,86,132,-3.212890625,-3.251953125
E,3520.500492706,34,76,132,-3.203125,-3.251953125
E,3520.549495114,31,71,132,-3.212890625,-3.2421875
E,3520.598497424,29,71,132,-3.22265625,-3.2421875
E,3520.647614730,31,74,133,-3.232421875,-3.2421875
E,3520.706302352,37,76,132,-3.203125,-3.232421875
E,3520.755304438,45,79,132,-3.203125,-3.232421875
E,3520.804306930,52,84,133,-3.193359375,-3.203125
E,3520.853974814,60,88,132,-3.22265625,-3.193359375
E,3520.912111648,66,87,132,-3.193359375,-3.232421875
E,3520.961114000,69,87,132,-3.06640625,-3.2421875
E,3521.030116072,73,87,132,-2.96875,-3.251953125
E,3521.079231852,77,86,132,-3.0859375,-3.251953125
E,3521.137920958,84,85,132,-2.998046875,-3.232421875
E,3521.186923408,92,82,132,-2.890625,-3.232421875
E,3521.235925466,99,82,132,-2.880859375,-3.232421875
E,3521.285042926,100,83,132,-2.94921875,-3.232421875
E,3521.343730338,100,84,132,-2.900390625,-3.22265625
E,3521.402533166,100,85,132,-2.919921875,-3.22265625
E,3521.451535364,100,84,131,-2.91015625,-3.203125
E,3521.500652810,100,85,131,-2.9296875,-3.22265625
E,3521.559340460,100,83,131,-2.978515625,-3.232421875
E,3521.608342616,100,81,131,-3.076171875,-3.232421875
E,3521.667145290,100,82,131,-3.076171875,-3.2421875
E,3521.716262652,100,83,131,-3.06640625,-3.2421875
E,3521.774950190,100,85,131,-3.115234375,-3.2421875
E,3521.833752878,100,83,131,-3.18359375,-3.232421875
E,3521.882755230,100,79,131,-3.134765625,-3.232421875
E,3521.931872522,100,80,130,-3.134765625,-3.232421875
E,3522.010560256,100,83,130,-3.115234375,-3.232421875
E,3522.059562230,100,81,130,-3.115234375,-3.232421875
E,3522.108564554,100,77,130,-3.095703125,-3.22265625
E,3522.157681972,100,71,130,-3.10546875,-3.232421875
E,3522.216369524,100,67,129,-3.154296875,-3.232421875
E,3522.265371708,100,65,128,-3.115234375,-3.22265625
E,3522.314373962,100,67,126,-3.125,-3.22265625
E,3522.363491170,100,69,124,-3.115234375,-3.22265625
E,3522.422178932,100,66,123,-3.06640625,-3.212890625
E,3522.471181074,100,61,121,-3.125,-3.232421875
E,3522.520183258,100,57,119,-3.115234375,-3.232421875
E,3522.569300788,100,56,116,-3.125,-3.232421875
E,3522.627988298,100,54,112,-3.154296875,-3.232421875
E,3522.676990664,100,53,109,-3.154296875,-3.251953125
E,3522.735793394,100,52,105,-3.18359375,-3.251953125
E,3522.784910490,100,50,101,-3.18359375,-3.251953125
E,3522.843598168,100,47,97,-3.212890625,-3.251953125
E,3522.892600534,100,44,93,-3.212890625,-3.251953125
E,3522.941602648,99,42,88,-3.212890625,-3.251953125
E,3523.011270924,93,41,84,-3.22265625,-3.251953125
E,3523.069407716,83,40,79,-3.212890625,-3.251953125
E,3523.118409704,75,39,76,-3.232421875,-3.2421875
E,3523.167411958,69,38,74,-3.26171875,-3.251953125
E,3523.216529320,63,37,73,-3.26171875,-3.251953125
E,3523.275216970,57,39,73,-3.2421875,-3.251953125
