device_type,time,tricep_effort,bicep_effort,joint_position,daq_0,daq_1
E,2065.915551070,24,51,49,-3.115234375,-2.87109375
E,2065.964553394,25,58,50,-3.0859375,-2.939453125
E,2066.033668040,26,63,51,-3.10546875,-3.046875
E,2066.092358224,27,68,53,-3.134765625,-3.10546875
E,2066.141360618,29,71,56,-3.125,-3.154296875
E,2066.190362704,30,75,60,-3.154296875,-3.193359375
E,2066.239477406,31,80,63,-3.203125,-3.173828125
E,2066.298167744,30,83,68,-3.26171875,-3.125
E,2066.347170040,29,87,72,-3.26171875,-3.125
E,2066.396172196,28,90,76,-3.26171875,-3.056640625
E,2066.445286786,26,89,81,-3.26171875,-3.046875
E,2066.503977208,23,84,86,-3.26171875,-3.076171875
E,2066.552979434,21,80,91,-3.26171875,-3.10546875
E,2066.601981646,19,76,95,-3.26171875,-3.095703125
E,2066.651096110,18,73,98,-3.26171875,-3.0859375
E,2066.709786602,17,72,102,-3.26171875,-3.095703125
E,2066.758788758,17,71,105,-3.26171875,-3.134765625
E,2066.807791054,15,73,108,-3.26171875,-3.125
E,2066.856905420,14,75,112,-3.26171875,-3.115234375
E,2066.915596024,13,76,116,-3.26171875,-3.095703125
E,2066.964598278,12,75,120,-3.26171875,-3.10546875
E,2067.033600532,11,74,123,-3.26171875,-3.115234375
E,2067.082714828,11,72,126,-3.26171875,-3.0859375
E,2067.141405460,10,70,129,-3.26171875,-3.037109375
E,2067.190407658,10,68,131,-3.26171875,-2.98828125
E,2067.239409856,9,65,131,-3.26171875,-2.978515625
E,2067.288524096,8,59,132,-3.26171875,-2.978515625
E,2067.347214700,8,50,132,-3.26171875,-2.939453125
E,2067.396217038,9,44,132,-3.26171875,-2.98828125
E,2067.445219348,12,39,131,-3.26171875,-3.017578125
E,2067.494333770,17,36,131,-3.251953125,-3.056640625
E,2067.553024094,24,34,131,-3.232421875,-3.037109375
E,2067.602026334,31,32,131,-3.193359375,-2.98828125
E,2067.651028742,40,32,131,-3.154296875,-2.94921875
E,2067.700143038,49,32,130,-3.10546875,-2.94921875
E,2067.758833558,64,35,130,-3.095703125,-2.94921875
E,2067.807835784,80,37,130,-3.0859375,-3.037109375
E,2067.856837912,90,37,128,-3.115234375,-3.056640625
E,2067.906701782,92,36,125,-3.193359375,-3.154296875
E,2067.964643008,94,34,120,-3.26171875,-3.14453125
E,2068.033645234,94,32,116,-3.26171875,-3.0859375
E,2068.082647432,93,31,112,-3.26171875,-3.0078125
E,2068.131761966,91,31,107,-3.26171875,-3.037109375
E,2068.190452486,86,30,103,-3.26171875,-3.056640625
E,2068.239454726,84,30,99,-3.26171875,-3.115234375
E,2068.288456756,83,31,96,-3.26171875,-3.14453125
E,2068.337571514,80,31,93,-3.26171875,-3.1640625
E,2068.396261852,79,33,90,-3.26171875,-3.14453125
E,2068.445264442,80,34,88,-3.26171875,-3.154296875
E,2068.494266374,79,34,86,-3.26171875,-3.115234375
E,2068.543380824,79,35,83,-3.2421875,-3.115234375
E,2068.602071204,79,37,81,-3.193359375,-3.076171875
E,2068.651073318,81,39,79,-3.212890625,-2.958984375
E,2068.700075740,82,40,77,-3.212890625,-2.939453125
E,2068.749190652,83,42,75,-3.203125,-2.939453125
E,2068.807880626,85,43,72,-3.18359375,-2.94921875
E,2068.856882768,88,45,71,-3.18359375,-2.919921875
E,2068.905885050,91,46,68,-3.18359375,-2.91015625
E,2068.955000592,92,48,66,-3.154296875,-2.91015625
E,2069.033690020,92,52,63,-3.18359375,-2.919921875
E,2069.082692302,93,56,61,-3.18359375,-2.9296875
E,2069.131694402,94,59,60,-3.18359375,-2.98828125
E,2069.180809958,95,59,60,-3.212890625,-2.978515625
E,2069.239499470,96,61,59,-3.212890625,-2.939453125
E,2069.288501654,95,63,58,-3.18359375,-2.96875
E,2069.337503740,94,67,58,-3.154296875,-2.939453125
E,2069.386620430,94,72,58,-3.125,-2.919921875
E,2069.445308850,93,75,57,-3.115234375,-2.94921875
E,2069.494311062,89,76,57,-3.154296875,-3.06640625
E,2069.543313260,87,75,57,-3.193359375,-3.095703125
E,2069.592429838,85,74,58,-3.193359375,-3.125
E,2069.651118146,79,70,58,-3.18359375,-3.14453125
E,2069.700120344,70,64,58,-3.1640625,-3.154296875
E,2069.749122752,64,58,58,-3.2421875,-3.125
E,2069.798239260,58,53,58,-3.271484375,-3.06640625
E,2069.856927862,53,48,59,-3.26171875,-2.98828125
E,2069.905929948,50,44,61,-3.26171875,-2.958984375
E,2069.954932160,47,39,61,-3.26171875,-3.0078125
