daq_0_bi,daq_1_tri
-3.056640625,-3.18359375
-3.056640625,-3.173828125
-3.076171875,-3.173828125
-3.0859375,-3.18359375
-3.076171875,-3.18359375
-3.076171875,-3.18359375
-3.06640625,-3.18359375
-3.076171875,-3.173828125
-3.076171875,-3.173828125
-3.06640625,-3.173828125
-3.06640625,-3.173828125
-3.056640625,-3.173828125
-3.076171875,-3.173828125
-3.076171875,-3.18359375
-3.076171875,-3.173828125
-3.076171875,-3.173828125
-3.0859375,-3.18359375
-3.0859375,-3.173828125
-3.076171875,-3.18359375
-3.076171875,-3.18359375
-3.0859375,-3.18359375
-3.0859375,-3.173828125
-3.076171875,-3.173828125
-3.076171875,-3.18359375
-3.0859375,-3.193359375
-3.076171875,-3.18359375
-3.076171875,-3.173828125
-3.076171875,-3.173828125
-3.0859375,-3.173828125
-3.076171875,-3.173828125
-3.076171875,-3.173828125
-3.076171875,-3.1640625
-3.0859375,-3.173828125
-3.095703125,-3.1640625
-3.0859375,-3.1640625
-3.0859375,-3.173828125
-3.095703125,-3.173828125
-3.095703125,-3.173828125
-3.095703125,-3.18359375
-3.10546875,-3.173828125
-3.10546875,-3.173828125
-3.115234375,-3.173828125
-3.10546875,-3.173828125
-3.115234375,-3.173828125
-3.10546875,-3.173828125
-3.10546875,-3.173828125
