device_type,time,pose,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,IMU_id_E,accl_x_E,accl_y_E,accl_z_E,gyro_x_E,gyro_y_E,gyro_z_E,mag_x_E,mag_y_E,mag_z_E,device_type_H,time_H,pose_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,IMU_id_H,accl_x_H,accl_y_H,accl_z_H,gyro_x_H,gyro_y_H,gyro_z_H,mag_x_H,mag_y_H,mag_z_H
E,2350.940560418,4.0,2.0,25.0,15,15,5605.0,8.982567240016252,1.996430826763953,3.138343369356498,0.01126108386914336,-0.010681478306651115,-0.03106734937288657,-28.31625362914828,-25.35477638244629,-29.588283958522958,H,2350.944266988,79.0,87.0,45.0,15,15,3486.0,7.264459642397094,3.4690120662412336,5.662125522639894,0.029815845298773958,-0.028378521180218125,0.006039711466479686,-22.085752693738804,-28.553115844726562,-35.05288264718473
E,2351.019249636,4.0,2.0,24.0,15,15,5605.0,8.940364130050169,2.0152605754777104,3.1561332881702406,0.011749626137316227,-0.01647679208393181,-0.0320444330573082,-28.394420623779297,-25.35477638244629,-29.581004889417546,H,2351.022671992,79.0,85.0,44.0,15,15,3486.0,7.263404846191406,3.5115071965533367,5.653083830625563,0.03185959565708919,-0.037621552797155254,0.011287532233867095,-22.070985794067383,-28.631175271286544,-35.26144029614136
E,2351.068163074,4.0,2.0,24.0,15,15,5605.0,8.916990189703053,2.0462939382194483,3.161717414855957,0.011170231473760776,-0.025998113921745843,-0.0320444330573082,-28.34806839598594,-25.308425189254685,-29.396239828150996,H,2351.071574958,79.0,87.0,45.0,15,15,3486.0,7.263404846191406,3.560336429036341,5.685481054625386,0.027165847809969067,-0.03942903997429016,0.014676777796158868,-22.394365201286945,-28.81698552340162,-35.36860525089231
E,2351.117166028,4.0,2.0,24.0,15,15,5605.0,8.898162619980921,2.0762930841428835,3.1683384097055844,0.009522814108359237,-0.033963463447522615,-0.03146510146328435,-28.34869407667481,-25.269325256347656,-29.17403942978327,H,2351.120577828,79.0,89.0,48.0,15,15,3486.0,7.2745559954118315,3.5645618438720703,5.688650131225586,0.026703694835305214,-0.04342433954438856,0.013978352409697347,-22.581114454996992,-28.833887100219727,-35.2766962144171
E,2351.166282914,4.0,2.0,24.0,15,15,5605.0,8.893609482332973,2.100706167048961,3.154064609988252,0.008545182645320892,-0.039702204939487666,-0.030397028713640264,-28.474894104824166,-25.31566551249509,-29.08362249703714,H,2351.169695050,79.0,90.0,49.0,15,15,3486.0,7.242163623903558,3.5980105742470765,5.666350687296247,0.029630472693336265,-0.052574390458947,0.011934737127041115,-22.517856649410767,-28.744689324502374,-35.07764418799853
E,2351.224972048,4.0,2.0,24.0,15,15,5605.0,8.905817162989045,2.092020069647806,3.130682357461607,0.007965913126604031,-0.04107849444083239,-0.02932886923483874,-28.553115844726562,-25.35477638244629,-29.17733877340973,H,2351.228384212,79.0,89.0,47.0,15,15,3486.0,7.250138030899909,3.6123320508000183,5.6530869555476375,0.027957228015363027,-0.05535830261487822,0.011749626137316227,-22.343231184327248,-28.64704350132529,-34.870143589130606
E,2351.274074472,4.0,2.0,24.0,15,15,5605.0,8.91802365132418,2.088496964545942,3.1250951290130615,0.007477034814655781,-0.04290635097702278,-0.027102439545832968,-28.506781518993275,-25.35477638244629,-29.314099912787448,H,2351.277485838,79.0,87.0,46.0,15,15,3486.0,7.273493385900917,3.624539205555542,5.640879583065777,0.025820956084757082,-0.0555436871945858,0.00979873862478041,-22.249304476970902,-28.727751327549807,-34.7518064085789
E,2351.323066688,4.0,2.0,24.0,15,15,5605.0,8.936847379985249,2.12614462003913,3.092006169126025,0.008056093450455416,-0.04717844156848808,-0.024477430664363406,-28.38163267327039,-25.40110069363775,-29.30586278054022,H,2351.326574542,79.0,88.0,46.0,15,15,3486.0,7.286760378176899,3.6478947168487927,5.606376462634625,0.025635547935962677,-0.059445462219657436,0.008637886719718095,-22.16385318533433,-28.569007983405466,-34.742271423339844
E,2351.372183840,4.0,2.0,25.0,15,15,5605.0,8.961259008460805,2.148503065109253,3.064058303833008,0.007387361794830299,-0.045082425875987334,-0.022341431424141862,-28.30896759033203,-25.440227508544922,-29.31407491709834,H,2351.375891110,79.0,90.0,47.0,15,15,3486.0,7.310112621053971,3.6500136852264404,5.5586120986792,0.023684910121047818,-0.059816278517246246,0.00464390701549117,-22.234461793273358,-28.553115844726562,-34.64195248535344
E,2351.430873044,4.0,2.0,25.0,15,15,5605.0,8.979057005922677,2.1617341180141354,3.030980606967944,0.00698774625517303,-0.04050004693167171,-0.02136295661330223,-28.355276986130555,-25.393919146392122,-29.40511306491159,H,2351.434383166,79.0,92.0,48.0,15,15,3486.0,7.301089802457232,3.672303536721599,5.509788792950845,0.021548887888062827,-0.055915549744107,0.0003718625495211958,-22.39791765973462,-28.720290057442185,-34.721561121357766
E,2351.479875998,4.0,2.0,25.0,15,15,5605.0,8.984648704528809,2.1795323270954436,3.003021240234375,0.007477034814655781,-0.037206375751656764,-0.019626634922960788,-28.394420623779297,-25.35477638244629,-29.444255828857422,H,2351.483387898,79.0,93.0,49.0,15,15,3486.0,7.300027370452881,3.6855731438931234,5.494394041853444,0.019412616027459022,-0.05359334490823245,0.0,-22.501951394420495,-28.81424176088676,-35.01982706971371
E,2351.528876278,4.0,2.0,25.0,15,15,5605.0,8.991262991073388,2.1917391407277638,2.9831792848269836,0.005740867248643202,-0.03293398824607329,-0.018737235216579107,-28.434104276243694,-25.35477638244629,-29.29874875868745,H,2351.532388066,79.0,92.0,50.0,15,15,3486.0,7.311171833698529,3.686635732650757,5.526765692740664,0.0172763203661288,-0.04755636961359094,-0.0009751702929216046,-22.588465254549728,-28.74366534360543,-35.24806213769556
E,2351.577995460,4.0,2.0,25.0,15,15,5605.0,8.996856689453125,2.217171644932601,2.9597860323915954,0.004851228354552616,-0.02981901209418132,-0.01806938688818767,-28.46766471862793,-25.44735858200577,-29.06988572671586,H,2351.581701820,79.0,93.0,52.0,15,15,3486.0,7.334518493762674,3.686635732650757,5.507669822926225,0.015140523896143811,-0.047973426096551336,-0.003017989225163083,-22.673896413158204,-28.658234018970703,-34.97749669953994
E,2351.636684258,4.0,2.0,26.0,15,15,5605.0,8.990243965830697,2.233954906463623,2.934354417868299,0.002447810289195429,-0.022475547500020517,-0.016511779013344396,-28.46766471862793,-25.571967024455805,-29.02666177238061,H,2351.640193358,79.0,98.0,53.0,15,15,3486.0,7.358935381962966,3.6977789323257584,5.5055389404296875,0.010078961427645805,-0.04416656674991999,-0.006129508412994789,-22.60335343077277,-28.63963314501306,-34.66007593037941
E,2351.685687324,4.0,2.0,37.0,15,15,5605.0,9.004482912962352,2.233954906463623,2.9109579099850915,0.0,-0.013040862944132536,-0.014865216362619754,-28.46766471862793,-25.61113166809082,-29.118718327174932,H,2351.689222688,79.0,100.0,100.0,15,15,3486.0,7.3610639572143555,3.698843240737915,5.483257972892056,0.004739410473123891,-0.03307143543254072,-0.011282806986852783,-22.517921315699184,-28.638568878173828,-34.73266824615377
E,2351.744491328,4.0,2.0,47.0,15,15,5605.0,9.034490864397743,2.214124866894313,2.8789219240988455,-0.0034702498646032426,-0.004986330656515013,-0.01388592179864645,-28.51393433759839,-25.564862049120364,-29.117216861742435,H,2351.748026090,78.0,100.0,100.0,15,15,3486.0,7.3722055940282525,3.698843240737915,5.469982722644662,0.003297706431505462,-0.029119779233849473,-0.013699395919626194,-22.421319175996636,-28.72770023187225,-34.831401036225515
E,2351.793607598,4.0,2.0,46.0,15,15,5605.0,9.039076816100371,2.1775051191340458,2.856532335281372,-0.006987187934165176,0.0018233569202074223,-0.01388592179864645,-28.553115844726562,-25.525680541992188,-29.177172732966575,H,2351.797338178,78.0,100.0,100.0,15,15,3486.0,7.384411812499957,3.654282287096956,5.446636198608484,0.0002801273396944597,-0.02396613109270849,-0.014860693849413409,-22.49077333074121,-28.81420990106438,-34.73966498370667
E,2351.852208028,4.0,2.0,45.0,15,15,5605.0,9.013653514327846,2.160710334777832,2.856532335281372,-0.007477034814655781,0.007742020797224776,-0.010994730569842842,-28.460598483674048,-25.571939222518445,-29.360272141889737,H,2351.855707622,78.0,100.0,100.0,15,15,3486.0,7.441179591206728,3.6388734746333338,5.399941469606105,-0.003899040391608592,-0.013751651295610973,-0.01592882887731629,-22.587365016654033,-28.7436981596705,-34.64094237382755
E,2351.901211696,4.0,2.0,49.0,15,15,5605.0,8.996856689453125,2.167317982506053,2.856532335281372,-0.009789691758663335,0.014150463722662448,-0.009123346881322781,-28.382213592529297,-25.56487890829674,-29.391395679436283,H,2351.904623566,78.0,100.0,100.0,15,15,3486.0,7.446516036987305,3.6489449618766883,5.429088240440015,-0.011095038678820827,-0.0011221499288492564,-0.01797148720184278,-22.517933208719956,-28.64711849799035,-34.63240432739258
E,2351.950210226,4.0,2.0,64.0,15,15,5605.0,9.003464208096705,2.1729178428649902,2.8697477597278267,-0.012905977187899275,0.01824671634122483,-0.008456979425402956,-28.34256641581824,-25.479425846637554,-29.300344008578943,H,2351.953621396,78.0,100.0,100.0,15,15,3486.0,7.435378814710937,3.6500136852264404,5.421157146467528,-0.011749626137316227,0.0,-0.01815851218998432,-22.26543425048922,-28.805625907227096,-35.02220232172719
