device_type,time,pose,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,IMU_id_E,accl_x_E,accl_y_E,accl_z_E,gyro_x_E,gyro_y_E,gyro_z_E,mag_x_E,mag_y_E,mag_z_E,device_type_H,time_H,pose_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,IMU_id_H,accl_x_H,accl_y_H,accl_z_H,gyro_x_H,gyro_y_H,gyro_z_H,mag_x_H,mag_y_H,mag_z_H
E,2648.277347154,39.0,5.0,4.0,50,50,5605.0,7.743689537170418,5.2735981941223145,2.5133264155431827,0.03418073058128357,-0.041902514372957535,0.018280887144154698,-27.12866665898258,-27.801092955251875,-29.052601006601144,H,2648.280794920,82.0,38.0,24.0,50,50,3486.0,6.411157524886379,1.5333067187883227,7.367593590908907,0.017239421894844186,-0.08110470676346573,0.023076970314299644,-16.602353530295783,1.3885213795674014,-48.231449127197266
E,2648.326349394,39.0,5.0,4.0,50,50,5605.0,7.785904603472565,5.268004638230496,2.5025177001953125,0.03418073058128357,-0.0445282168821803,0.019960816058931134,-27.063812255859375,-27.649768829345703,-29.148861072744857,H,2648.329894082,82.0,34.0,21.0,50,50,3486.0,6.486955521629691,1.5137180089950562,7.344032408668161,0.014954069629311562,-0.08473116293881353,0.02136295661330223,-16.504409790039062,1.3371371249576527,-48.28254421635421
E,2648.375351634,39.0,5.0,3.0,50,50,5605.0,7.867155573151994,5.223371619636196,2.5025177001953125,0.03418073058128357,-0.05044742355469368,0.02575778594518083,-27.072194478845084,-27.68888492408436,-29.202171458992904,H,2648.378896826,82.0,31.0,19.0,50,50,3486.0,6.534927356443062,1.52507052119693,7.29606057385479,0.010980685508481261,-0.0895748143053943,0.025833013316185035,-16.58955379784481,1.3760170416465078,-48.29022964108327
E,2648.424468506,39.0,4.0,3.0,50,50,5605.0,7.91738162131647,5.212561130523682,2.4983272069733045,0.03442517530879214,-0.051850354752630765,0.026948139775946355,-27.146835975544438,-27.972019806113266,-29.019427386530076,H,2648.427792442,82.0,28.0,17.0,50,50,3486.0,6.681110394469421,1.4302817310426996,7.291786729213783,0.008892299929598214,-0.093847443663279,0.02998292097972264,-16.727255262303835,1.4680007816993608,-48.282536694018766
E,2648.483156646,39.0,5.0,4.0,50,50,5605.0,7.981202201542949,5.209770272404367,2.461709099919504,0.03656122736113992,-0.04757824777475288,0.02957259901430643,-27.232277414826815,-27.78299583194809,-28.945147908655606,H,2648.486729684,82.0,26.0,15.0,50,50,3486.0,6.8060562248405745,1.374289851937513,7.290392980523075,0.0132392637621629,-0.09464366596707549,0.03181926661220965,-16.772972106933594,1.473994332072098,-48.386715091054484
E,2648.532158746,39.0,6.0,4.0,50,50,5605.0,8.061071606920088,5.18396075806666,2.4264828115148585,0.038697493203345756,-0.042329032701922564,0.035737222367863065,-27.317727508701164,-27.491071701049805,-28.98805223316294,H,2648.535578218,82.0,24.0,13.0,50,50,3486.0,6.833563163371118,1.4072949649825928,7.245524263681011,0.014954069629311562,-0.08846117546272907,0.03922015262948144,-16.81268451431413,1.428266167640686,-48.4389762878418
E,2648.581160944,39.0,7.0,5.0,50,50,5605.0,8.10187197341958,5.148736334066786,2.400676724242969,0.040955509979008896,-0.029878604392241163,0.04037522312675265,-27.393413543701172,-27.53985759776126,-29.233942897150104,H,2648.584583188,82.0,22.0,12.0,50,50,3486.0,6.884112844452514,1.3493493109621029,7.227645387664186,0.015946741576396653,-0.07785583365302298,0.04677207696433258,-16.858423233032227,1.3828868786310822,-48.4389762878418
E,2648.630277858,39.0,8.0,5.0,50,50,5605.0,8.16954024573775,5.129896903639183,2.3682363033294678,0.04403795985988705,-0.0197776190676229,0.04712045369756812,-27.36414579574329,-27.936449389992948,-29.191410947697392,H,2648.633599792,82.0,21.0,11.0,50,50,3486.0,6.902855401031799,1.3257971136800706,7.191885673871605,0.018579372778512,-0.06461720095915913,0.054669971304577986,-16.8187166805824,1.3306069374084473,-48.4389762878418
E,2648.688966012,39.0,10.0,5.0,50,50,5605.0,8.193952493403915,5.147347128336332,2.364059337547847,0.04653949549739262,-0.006258755606869537,0.0477011692302499,-27.13705825805664,-28.077028274536133,-28.997181872618366,H,2648.692463170,82.0,19.0,10.0,50,50,3486.0,6.898045530333864,1.30619215965271,7.137383658765099,0.021287479798399636,-0.052641148168233134,0.06130528600511646,-16.73326555448377,1.3759862264180516,-48.49002820262528
E,2648.737968126,38.0,12.0,5.0,50,50,5605.0,8.216974767846526,5.113510044877536,2.3330059921097686,0.051880079672209645,0.004057020663720226,0.044984003870302464,-27.14680191730336,-28.067284397801874,-28.738690407525738,H,2648.741616876,82.0,18.0,10.0,50,50,3486.0,6.873631966216271,1.30619215965271,7.099036938003155,0.023919921285157762,-0.041118838193397365,0.06401326683653037,-16.72722245117133,1.4679679702922108,-48.54884338378906
E,2648.786970646,37.0,12.0,5.0,50,50,5605.0,8.223621782550218,5.098526415118577,2.3452108819602837,0.056976545908748386,0.011167758384214186,0.04568721596049051,-27.232234905996485,-27.98184971924766,-28.68382353069016,H,2648.790598956,82.0,18.0,9.0,50,50,3486.0,6.843547947884095,1.2948504765401179,7.081159591125454,0.030101341545425403,-0.03162398452632591,0.06515701860189438,-16.89773051041673,1.5137180089950562,-48.45243835742207
E,2648.836087266,37.0,12.0,5.0,50,50,5605.0,8.186996114768185,5.063291283342241,2.3546382320777073,0.06078968342628702,0.015440772083831949,0.04355071054915299,-27.317694696836277,-27.90751465099593,-28.866952823368912,H,2648.839587364,81.0,17.0,9.0,50,50,3486.0,6.812601151164342,1.276108717247224,7.062417904139328,0.036736905197741046,-0.025444059965325255,0.06614903699146657,-17.120896061063196,1.4740373010903844,-48.28462946593418
E,2648.894775378,37.0,13.0,5.0,50,50,5605.0,8.153156524063439,5.038879090739835,2.3452107041112837,0.06848301530204794,0.019226660951972008,0.04117154663488749,-27.40174866919022,-27.91833114624023,-29.029205322265625,H,2648.898274664,81.0,17.0,8.0,50,50,3486.0,6.771189379945422,1.269569993019104,7.038878534319703,0.04142843615948093,-0.01781554568347652,0.06729331612586975,-17.13310194497773,1.428266167640686,-48.32124647180305
E,2648.943777618,37.0,14.0,4.0,50,50,5605.0,8.136781796135946,5.017242908477783,2.3560287952423096,0.06955114562857338,0.019105121946544252,0.03702055654955417,-27.448600330594466,-27.907219140367594,-29.01948207297155,H,2648.947277912,81.0,17.0,8.0,50,50,3486.0,6.715821704383637,1.2639036720782129,7.047588452006472,0.04684540240886893,-0.014954069629311562,0.06531011901313397,-16.916876691120617,1.3829359874445855,-48.5409696221138
E,2649.012779760,37.0,13.0,4.0,50,50,5605.0,8.090733434381207,5.015855265469412,2.357416438250681,0.07049775868654251,0.01815851218998432,0.03381647729814144,-27.278820278091548,-27.8206729888916,-28.934038950367825,H,2649.016341066,81.0,17.0,8.0,50,50,3486.0,6.66699572528863,1.2573624849319458,7.091624653945276,0.05111766143137644,-0.01644121650966475,0.063020721077919,-16.68799219826183,1.2909496688244513,-48.704033451766485
E,2649.062450206,37.0,12.0,4.0,50,50,5605.0,8.069093704223633,5.006422865792058,2.3696237416330255,0.07086196513654602,0.017672903554695953,0.030612079707962155,-27.061317536615157,-27.810960676885824,-28.879112981153973,H,2649.065986144,81.0,17.0,8.0,50,50,3486.0,6.629496432809355,1.2573624849319458,7.116039639014861,0.05291166537737291,-0.016671335852469996,0.06153354474040468,-16.67484250807753,1.3301366326690833,-48.66005754245009
E,2649.120584856,37.0,11.0,4.0,50,50,5605.0,8.064935517323304,5.017242908477783,2.3790575197215453,0.07370220124721527,0.014007202792732466,0.02728671962094884,-27.16616567464224,-27.746308598222942,-29.030323710737015,H,2649.124079830,81.0,16.0,7.0,50,50,3486.0,6.605084797094959,1.2630264061934264,7.151779151551782,0.053826010829028714,-0.01792760288375495,0.05832951232213057,-16.94288841734832,1.5528713845114206,-48.452556943582174
E,2649.169586998,37.0,10.0,4.0,50,50,5605.0,8.031085699724201,5.020014660223855,2.3723939580159352,0.07345967009352704,0.014226476802638104,0.023499252274632454,-27.392027694895493,-27.841195329514537,-28.902175741953688,H,2649.173087012,81.0,16.0,7.0,50,50,3486.0,6.575008593762892,1.269569993019104,7.183616326884374,0.05356162486057127,-0.01987640943074922,0.05562080392548199,-17.21281346967143,1.5722422914754044,-48.233718297814804
E,2649.218589336,37.0,10.0,4.0,50,50,5605.0,8.018879208269329,5.047195464479453,2.407627386126345,0.07108132709609322,0.008302894120495166,0.023014675224981,-27.3715148345666,-27.92550725443694,-28.58722327613733,H,2649.222236896,81.0,17.0,7.0,50,50,3486.0,6.549713217218844,1.2922192070436251,7.201485247766408,0.051271095871925354,-0.020140320836256106,0.05100737373360931,-17.212954990997765,1.2980330211167512,-48.16033600802673
E,2649.267705844,37.0,10.0,4.0,50,50,5605.0,8.003903619186927,5.090487003326416,2.4292733669281006,0.06680880067566057,0.006408886983990669,0.01849988841033426,-27.287447544275135,-28.086718495670574,-28.71420305174688,H,2649.271331634,81.0,18.0,7.0,50,50,3486.0,6.526183726173514,1.3183995485305786,7.231559632438546,0.05077571658817197,-0.022431103512644768,0.04452160985818961,-16.995887684077402,1.2324179616178297,-48.270195563512154
