device_type,time,pose,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,IMU_id_E,accl_x_E,accl_y_E,accl_z_E,gyro_x_E,gyro_y_E,gyro_z_E,mag_x_E,mag_y_E,mag_z_E,device_type_H,time_H,pose_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,IMU_id_H,accl_x_H,accl_y_H,accl_z_H,gyro_x_H,gyro_y_H,gyro_z_H,mag_x_H,mag_y_H,mag_z_H
E,6352.502040028,6.0,15.0,61.0,15,20,5605.0,8.739143148329719,3.441129938033087,2.9392748426783792,0.01614102207598179,-0.0017804286700053434,0.025635547935962677,-29.688404083251953,-21.910937401910573,-30.517156587525275,H,6352.505821162,84.0,100.0,100.0,15,20,3486.0,6.697441131895,4.427984462571056,5.836259082324005,0.013106787305968481,-0.009417282352451668,0.04165270637768981,-17.759588616797274,-26.80757293789057,-35.95634524458794
E,6352.560842772,6.0,13.0,52.0,15,20,5605.0,8.75813221968081,3.460119115317472,2.899938000237338,0.013530282716777538,0.0033221694625793926,0.025635547935962677,-29.764339610362022,-21.939394160532917,-30.42628690687376,H,6352.564642750,84.0,94.0,100.0,15,20,3486.0,6.73406105046387,4.462365491537943,5.867335605670169,0.006017287472082722,-0.003395867834408437,0.03456795332534644,-17.845035816667266,-27.082783610651084,-36.057412836530915
E,6352.609844928,6.0,12.0,46.0,15,20,5605.0,8.748643688708773,3.466902494430542,2.887730624635465,0.008427456674736834,0.008900821727189806,0.024211760609626723,-29.821340902975997,-22.07233013279061,-30.453378125819192,H,6352.613627448,84.0,80.0,100.0,15,20,3486.0,6.7506937980651855,4.461246626229391,5.8706422401463385,-0.00019579975595397333,0.0017490715629631473,0.03136351076467368,-17.837203715803437,-27.010408313593008,-36.15278490518706
E,6352.658957390,6.0,10.0,40.0,15,20,5605.0,8.706600209837546,3.4723257966922247,2.8863704152987917,0.00237445175003093,0.014477757451910147,0.023854708605865867,-29.6979313087146,-22.119813919067383,-30.636478903289643,H,6352.662642918,84.0,69.0,100.0,15,20,3486.0,6.744030871637895,4.442375931444378,5.859553813934326,-0.005634438787256518,0.007285610472242679,0.028742091549981023,-17.85169874309456,-26.6908274580745,-36.164991936437055
E,6352.717647014,6.0,9.0,35.0,15,20,5605.0,8.663198378912147,3.4736882627170553,2.8931546211242676,-0.0037951854318780875,0.02017545730994153,0.023737955220023636,-29.60295295715332,-22.00595844214603,-30.700289652409513,H,6352.721367808,84.0,58.0,100.0,15,20,3486.0,6.7384867668151855,4.411300547309406,5.866215887561614,-0.007379284181233849,0.01184737677073816,0.024857096928799408,-18.035961024178047,-26.663242943076643,-36.163873967632476
E,6352.766649282,6.0,8.0,31.0,15,20,5605.0,8.648262422022547,3.466902494430542,2.8823129846630984,-0.011391115690311118,0.02136295661330223,0.02136295661330223,-29.678844729998268,-21.825513170489394,-30.65821072900228,H,6352.770365302,83.0,50.0,100.0,15,20,3486.0,6.725165224008183,4.388004469837954,5.905064442025612,-0.008740137055474283,0.01631464907520676,0.020682666467188734,-18.152408599853516,-26.79970607784422,-36.098382327554475
E,6352.815651564,6.0,7.0,28.0,15,20,5605.0,8.649628241124425,3.483165002058423,2.874160608662988,-0.019222968783233405,0.02278592272223385,0.02136295661330223,-29.811802579632676,-21.77800750732422,-30.664997100830078,H,6352.819374290,83.0,44.0,100.0,15,20,3486.0,6.687435174986203,4.415753517751426,5.932797908782959,-0.013012181521444259,0.02214003946242596,0.018061309344575435,-18.005907563810446,-26.790806299773767,-35.93525562215581
E,6352.864766798,7.0,7.0,25.0,15,20,5605.0,8.648262422022547,3.4981039091067254,2.8809471130371094,-0.02836197656729529,0.02077282178065469,0.019939989677243627,-29.745471007019447,-21.853899280169166,-30.578264009140725,H,6352.868410102,83.0,39.0,100.0,15,20,3486.0,6.6585828439631705,4.46347259013086,5.939457259949183,-0.019032886858460555,0.022236646181290808,0.015342300546128645,-17.883846282958984,-26.74641990661621,-35.960802554168524
E,6352.923456520,7.0,6.0,23.0,15,20,5605.0,8.66046859603542,3.5021561337213,2.8701082515020886,-0.03880299107127019,0.013177012316124583,0.016261709519450523,-29.565017206393634,-22.02478316838948,-30.42632300926347,H,6352.926866766,83.0,35.0,100.0,15,20,3486.0,6.639716529272498,4.493435262062173,5.9250280501579144,-0.027675185237891864,0.016798753537162307,0.012137894387551593,-17.983733636750372,-26.79969357815592,-36.2271489087589
E,6352.972458522,8.0,6.0,22.0,15,20,5605.0,8.672674583085382,3.537405701914299,2.851114001656873,-0.05019734080701078,0.005346345869630418,0.011989484195821746,-29.555430272250945,-22.119813919067383,-30.453294770877257,H,6352.975871232,83.0,31.0,100.0,15,20,3486.0,6.6086446515609225,4.524507096408271,5.881749634674373,-0.03495750186179945,0.00922501252423371,0.0025248870764288207,-18.066957473754883,-26.844079971313477,-36.31258818093655
E,6353.041460958,8.0,6.0,20.0,15,20,5605.0,8.706552782051393,3.5970690550021818,2.849742881227156,-0.05981026427681592,-0.0056887688918555515,0.0058208178814156365,-29.678803433900846,-22.0818891039522,-30.59847337631487,H,6353.044780568,83.0,27.0,100.0,15,20,3486.0,6.5786842945319535,4.521183784397966,5.852897019468063,-0.03913256625061087,0.0012634873814739735,-0.0077673785556760895,-17.967106336823562,-26.790825615583373,-36.15503086005143
E,6353.090576206,8.0,5.0,18.0,15,20,5605.0,8.800078253592215,3.664886881495767,2.8294516309248867,-0.07084396069881797,-0.017556893759437146,-0.0031970599816451154,-29.77385711669922,-21.958536651521477,-30.652790069580078,H,6353.094171574,83.0,25.0,100.0,15,20,3486.0,6.567583084106445,4.531156502128975,5.867314722180565,-0.045831348958771355,-0.007960443159477335,-0.01475838104754423,-17.837252444852226,-26.74641990661621,-36.120574714309996
E,6353.149265872,9.0,5.0,17.0,15,20,5605.0,8.891028820591028,3.7313358631754117,2.790079887493402,-0.0822394528109988,-0.027763913762128098,-0.012809844132816533,-29.81176491179174,-21.86345863342285,-30.652790069580078,H,6353.152766586,83.0,22.0,100.0,15,20,3486.0,6.574239168126834,4.579985491951464,5.937216505448339,-0.05020294710993767,-0.012817773967981339,-0.028641754946339214,-17.79839324951172,-26.69982809845287,-36.22378471342287
E,6353.198268028,9.0,4.0,15.0,15,20,5605.0,8.954726696441732,3.777502887732179,2.7778726882871085,-0.09374798781575566,-0.03453408911320589,-0.02194919940878305,-29.85930824279785,-21.901366041039644,-30.696111733286777,H,6353.201768182,83.0,20.0,100.0,15,20,3486.0,6.5797905921936035,4.655426623985127,5.941700854802519,-0.052532009754659395,-0.012817773967981339,-0.045536893413842115,-17.79839324951172,-26.607732608042774,-36.21495993348222
E,6353.247270450,9.0,4.0,14.0,15,20,5605.0,9.019893314516816,3.795124570152355,2.7764952908338474,-0.10526436470431808,-0.03347428112035979,-0.03286297327479133,-29.821405298971662,-21.986814610696307,-30.707130697702915,H,6353.250770870,83.0,18.0,93.0,15,20,3486.0,6.573137633095291,4.766379153638464,5.875118833825299,-0.05796831312976634,-0.015728418195459733,-0.06339969208925814,-17.751823315436717,-26.616532388606814,-36.11065966924601
E,6353.296385488,10.0,4.0,13.0,15,20,5605.0,9.033478736877441,3.862839909864583,2.761635982007536,-0.11570288574335455,-0.029434500329856436,-0.0462732778922204,-29.77385711669922,-21.9964720222563,-30.609485606688203,H,6353.300071366,83.0,17.0,78.0,15,20,3486.0,6.554276884662832,4.86184254804901,5.853999405568975,-0.06612369904993072,-0.017576371446097347,-0.08602329906619414,-17.712942123413086,-26.707539698940558,-36.12054658293221
E,6353.355075392,10.0,4.0,12.0,15,20,5605.0,9.055127774190616,3.947020738023841,2.729046081468266,-0.13136140251207729,-0.02647210143980473,-0.05956390435652087,-29.8117430377034,-21.911024900216933,-30.56054215850498,H,6353.358854370,83.0,15.0,64.0,15,20,3486.0,6.529864112403895,4.895168781280518,5.906118048039854,-0.07107981161286162,-0.013598038597804278,-0.10767843275270653,-17.81272295914497,-26.646639070884326,-36.170536041259766
E,6353.404077478,10.0,3.0,11.0,15,20,5605.0,9.087718829476358,4.016102940603208,2.716840135842146,-0.1510590411103765,-0.022552369915079588,-0.07534181494368308,-29.783557429472953,-21.825583649462843,-30.567337036132812,H,6353.407860278,83.0,15.0,55.0,15,20,3486.0,6.485500361329766,4.935072633955214,5.97160789872583,-0.07563941525195234,-0.006607968300100296,-0.12923056942053593,-17.94260733272867,-26.563308715820312,-36.170536041259766
E,6353.453079774,10.0,3.0,10.0,15,20,5605.0,9.116152338345072,4.115137150204321,2.682997546701933,-0.17277116022844802,-0.019943042803814634,-0.09255139137388542,-29.688404083251953,-21.77800750732422,-30.61061095703156,H,6353.456862728,83.0,14.0,47.0,15,20,3486.0,6.444416796643862,5.028261341054446,6.007134640734067,-0.08078850738052887,-0.0008770214173450264,-0.15447374793840218,-17.881757706911053,-26.663055449216877,-36.11068779342263
E,6353.502192698,11.0,3.0,10.0,15,20,5605.0,9.13793672052824,4.195174502947975,2.6544148693985656,-0.19768842330504796,-0.01579237099869498,-0.10857246530609929,-29.839837594820914,-21.74014955194437,-30.702855056209927,H,6353.505877806,83.0,13.0,40.0,15,20,3486.0,6.4133543402978965,5.151419543145684,6.051495342576924,-0.08631993424103496,0.005722493984766545,-0.1875756175809955,-17.751850169436235,-26.799612888603775,-36.0008271002977
E,6353.560907718,11.0,3.0,10.0,15,20,5605.0,9.136546006522543,4.252193964998721,2.6558056105666448,-0.2234456629606314,-0.009505175722522602,-0.1250679159438723,-30.0680703577236,-21.660105739443107,-30.836981299957497,H,6353.564691092,83.0,12.0,34.0,15,20,3486.0,6.3767345862521045,5.265746784869343,6.072638780439341,-0.0996136362629237,0.014848799716395635,-0.2236993852313801,-17.806017408049946,-26.844079971313477,-35.950801849365234
E,6353.609910154,11.0,3.0,9.0,15,20,5605.0,9.127122057425629,4.267183436392883,2.6544141771850427,-0.24848483842923333,-0.003448068147600765,-0.14073781013244643,-29.893950645801247,-21.5760498027345,-30.989027870185055,H,6353.613354644,83.0,12.0,29.0,15,20,3486.0,6.326819596019575,5.336810481896232,6.040489563377955,-0.11893440147836087,0.01515506518884532,-0.25438817694622984,-17.83731310268701,-26.74436734898299,-36.070457411618094
E,6353.658912534,11.0,3.0,8.0,15,20,5605.0,9.063474332540178,4.260383605957031,2.6720259996133686,-0.27411710607567624,-0.0015411788679236915,-0.15414891832847993,-29.501632625248313,-21.478403300157538,-30.962335419322223,H,6353.662361364,83.0,12.0,25.0,15,20,3486.0,6.272436855819972,5.392279047901319,6.038187304878283,-0.14097090789369832,0.007097564840516243,-0.2844821775328756,-17.658831516067664,-26.60780191140801,-36.23034850941431
E,6353.708023694,11.0,3.0,8.0,15,20,5605.0,8.965822186521304,4.260383605957031,2.6910338971288894,-0.30116969230262913,-0.0068658442356653755,-0.1664928207932163,-29.472313782769596,-21.46723411343248,-30.692754219570837,H,6353.711660978,83.0,11.0,22.0,15,20,3486.0,6.243546082798908,5.400153815898905,6.028294556457082,-0.16795572159355016,-0.005516302621653002,-0.3112904302016687,-17.488883523897094,-26.563308715820312,-36.220603483857346
E,6353.766715096,12.0,3.0,7.0,15,20,5605.0,8.85195474076573,4.260383605957031,2.714049713293935,-0.32906226390579607,-0.014236456524920681,-0.17871467320757,-29.652992068615028,-21.483820985896358,-30.48188591003418,H,6353.770162638,83.0,11.0,19.0,15,20,3486.0,6.237983226776123,5.35689073540895,6.012686064800837,-0.19321130023301067,-0.01921216874282903,-0.33255735863632874,-17.497527443155747,-26.51680440401033,-36.11738736660307
E,6353.815717742,12.0,3.0,7.0,15,20,5605.0,8.728483767565013,4.271192353355673,2.7614799983491363,-0.3557655578034435,-0.024061154128704375,-0.19011362320695213,-29.700613021850586,-21.39837026858571,-30.525120899628746,H,6353.819166390,83.0,11.0,17.0,15,20,3486.0,6.2512687115075956,5.301421156676684,6.051464089600172,-0.21341051774731795,-0.030379863613257944,-0.34994474954090543,-17.542037963867188,-26.47785758972168,-36.01309038710118
E,6353.864720598,12.0,3.0,7.0,15,20,5605.0,8.629429538810776,4.279394761052069,2.8063028883012566,-0.3848322980088714,-0.04080040301600319,-0.20019938722195635,-29.700613021850586,-21.27509442918405,-30.709236951993496,H,6353.868168602,83.0,10.0,15.0,15,20,3486.0,6.262397766113281,5.286882237864413,6.0992128583238445,-0.22333708963358462,-0.03873591001661565,-0.37303418674802225,-17.58853237640838,-26.424722452528663,-36.022786818010836
E,6353.913836098,12.0,3.0,7.0,15,20,5605.0,8.554793890353904,4.245580728885399,2.841518420869121,-0.4145087654231697,-0.0600064716483545,-0.21040666313184814,-29.662797976199386,-21.217658948239094,-30.95355350960235,H,6353.917480592,83.0,10.0,13.0,15,20,3486.0,6.2225453268472855,5.3046551105414785,6.022919642209487,-0.23477235604890742,-0.04921315706509922,-0.39771201624758584,-17.580995620006696,-26.33370405506529,-36.13265515435995
E,6353.972524266,12.0,3.0,7.0,15,20,5605.0,8.48295785021907,4.200751405816278,2.89034534361212,-0.44026571575923656,-0.08220937488006749,-0.22001944717678268,-29.57735062670833,-21.303106297730146,-31.055633544921875,H,6353.975972732,83.0,10.0,12.0,15,20,3486.0,6.129375993312893,5.310220241546631,5.925079610700813,-0.260391692056037,-0.06309892099580035,-0.40870784314817277,-17.34942166460136,-26.4408693234258,-36.122965135114164
E,6354.041530748,12.0,3.0,6.0,15,20,5605.0,8.413713859522947,4.170937841389036,2.9283704065507457,-0.4648313578647402,-0.10379738508281619,-0.23057717476297632,-29.605316232426375,-21.312944798974947,-31.055633544921875,H,6354.044887304,83.0,10.0,11.0,15,20,3486.0,6.0195157859976085,5.2836552631897735,5.901742060002583,-0.2849739677498295,-0.08105180044389051,-0.4159798640977158,-17.041916231955252,-26.66292757922054,-36.1857779776812
E,6354.090507858,13.0,3.0,6.0,15,20,5605.0,8.35948693766021,4.1289177363864535,2.9527838018659773,-0.4870349343250553,-0.12600097558466494,-0.2427986242047776,-29.73841144650141,-21.265296936035156,-31.012435465848938,H,6354.093892064,83.0,10.0,10.0,15,20,3486.0,5.956141213855689,5.24147211660166,5.909454821197768,-0.30245506649802095,-0.10880235114235204,-0.4284027349790222,-16.91946029663086,-26.60035005163774,-36.459669743409265
E,6354.139621146,13.0,3.0,6.0,15,20,5605.0,8.287651404973076,4.112486801567464,2.993397169054554,-0.5057888369358177,-0.1480621608831928,-0.2541988119931307,-29.748266984888048,-21.303094099096324,-30.914777906645185,H,6354.142945880,83.0,10.0,10.0,15,20,3486.0,5.911814755558419,5.238044747559156,5.920590400695801,-0.3167328970498204,-0.1413302280455141,-0.44402953268196177,-16.926099258633805,-26.325181169993318,-36.616640609530265
