,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,-0.010016193714637868,-1.282072795473589,7.0,14.0,50,50,,,-0.004980692998797611,-0.6375287038460362,100.0,14.0,50,50,,
1,-0.02140221572550532,-1.3702213485112416,7.0,14.0,50,50,-0.011386022010867454,-0.08814855303765246,-0.006878112140854655,-0.43911980118416644,100.0,14.0,50,50,-0.001897419142057044,0.19840890266186978
2,-0.032852778883673384,-1.4025946964541525,7.0,14.0,50,50,-0.011450563158168062,-0.03237334794291091,-0.006987259560026723,-0.2949250583975069,100.0,14.0,50,50,-0.00010914741917206813,0.14419474278665956
3,-0.043869281548492685,-1.404541617158652,6.0,14.0,50,50,-0.011016502664819301,-0.001946920704499533,-0.00941371295849975,-0.29898094040017115,100.0,14.0,50,50,-0.0024264533984730266,-0.004055882002664268
4,-0.055762829252428654,-1.429535867026946,6.0,13.0,50,50,-0.01189354770393597,-0.024994249868294016,-0.013508658547160636,-0.34674372343978066,100.0,14.0,50,50,-0.0040949455886608865,-0.04776278303960951
5,-0.06680398402246442,-1.426577097429903,6.0,14.0,50,50,-0.011041154770035762,0.0029587695970429984,-0.01689050969263506,-0.36240929250357434,100.0,14.0,50,50,-0.0033818511454744224,-0.015665569063793683
6,-0.0764494583951621,-1.3956534917689059,6.0,14.0,50,50,-0.00964547437269768,0.030923605660997167,-0.019159655137478217,-0.3508169623429911,100.0,14.0,50,50,-0.002269145444843159,0.011592330160583253
7,-0.08512317079067531,-1.3539265336663888,6.0,14.0,50,50,-0.00867371239551322,0.04172695810251703,-0.02078123678797038,-0.3298737541670644,100.0,14.0,50,50,-0.001621581650492164,0.02094320817592671
8,-0.09103314658009382,-1.2731640770910055,6.0,14.0,50,50,-0.005909975789418501,0.08076245657538328,-0.02282772601513463,-0.320691994254361,100.0,14.0,50,50,-0.0020464892271642478,0.009181759912703369
9,-0.09363438055901618,-1.1539008471964036,6.0,14.0,50,50,-0.002601233978922368,0.11926322989460192,-0.025821124035311702,-0.3286152923730219,100.0,14.0,50,50,-0.002993398020177073,-0.007923298118660882
10,-0.09562055153234918,-1.045543952573116,6.0,13.0,50,50,-0.001986170973332993,0.10835689462328757,-0.029463442600327742,-0.34518809522640614,100.0,14.0,50,50,-0.0036423185650160395,-0.01657280285338425
11,-0.09802794750232485,-0.9604132211046511,6.0,13.0,50,50,-0.002407395969975676,0.08513073146846495,-0.031171384431130978,-0.33057571690601034,100.0,14.0,50,50,-0.0017079418308032362,0.014612378320395802
12,-0.09999419249852162,-0.8813775186548559,6.0,14.0,50,50,-0.00196624499619677,0.07903570244979519,-0.030455555157617633,-0.283493133868021,100.0,14.0,50,50,0.0007158292735133451,0.047082583037989345
13,-0.10193258970432967,-0.8127337282746321,6.0,14.0,50,50,-0.0019383972058080456,0.06864379038022383,-0.029040165685552052,-0.23312504836158704,100.0,14.0,50,50,0.0014153894720655806,0.05036808550643396
14,-0.10386576112661075,-0.752866940580359,6.0,14.0,50,50,-0.0019331714222810825,0.059866787694273116,-0.02943230413471551,-0.21375171114262223,100.0,14.0,50,50,-0.00039213844916345664,0.01937333721896481
15,-0.1062496476150453,-0.70634609656666,6.0,14.0,50,50,-0.0023838864884345445,0.046520844013698937,-0.032075610298025595,-0.2266972532387788,100.0,14.0,50,50,-0.0026433061633100857,-0.01294554209615656
16,-0.10865201292979677,-0.6655482991031003,6.0,14.0,50,50,-0.0024023653147514784,0.040797797463559715,-0.0354165971458425,-0.24725238965089985,100.0,14.0,50,50,-0.003340986847816904,-0.02055513641212106
17,-0.11196233966834904,-0.6411275653456848,6.0,14.0,50,50,-0.0033103267385522633,0.02442073375741549,-0.03875872006603284,-0.2654840709720933,100.0,13.0,50,50,-0.0033421229201903435,-0.01823168132119346
18,-0.11622491408083786,-0.6315829376196748,6.0,14.0,50,50,-0.004262574412488826,0.009544627726010058,-0.042101750790533084,-0.2817142541445467,100.0,13.0,50,50,-0.0033430307245002414,-0.016230183172453394
19,-0.12052979123163965,-0.623602568139458,6.0,13.0,50,50,-0.004304877150801786,0.007980369480216742,-0.044840956767694264,-0.2885400907228827,100.0,13.0,50,50,-0.00273920597716118,-0.00682583657833602
20,-0.12437888783619643,-0.610725435887056,6.0,13.0,50,50,-0.003849096604556776,0.012877132252402057,-0.04813826647956965,-0.3016726986397085,100.0,13.0,50,50,-0.0032973097118753833,-0.0131326079168258
21,-0.12775050873165256,-0.5932062390028665,6.0,12.0,50,50,-0.0033716208954561316,0.01751919688418946,-0.0537742396824997,-0.3427167317400675,100.0,13.0,50,50,-0.00563597320293005,-0.04104403310035898
22,-0.13109999215689086,-0.5772002793078111,6.0,12.0,50,50,-0.0033494834252383032,0.01600595969505536,-0.05894769511023953,-0.3738081140667483,100.0,14.0,50,50,-0.00517345542773983,-0.031091382326680794
23,-0.13444899803568383,-0.5628031074313955,7.0,12.0,50,50,-0.003349005878792971,0.014397171876415649,-0.06476061332982437,-0.4096969963097438,100.0,13.0,50,50,-0.005812918219584844,-0.03588888224299552
24,-0.1400761923137866,-0.578018222159452,7.0,13.0,50,50,-0.005627194278102765,-0.015215114728056478,-0.07144867156561385,-0.4528246010015891,100.0,13.0,50,50,-0.006688058235789482,-0.04312760469184529
25,-0.14398900939825923,-0.5705814737425878,7.0,13.0,50,50,-0.003912817084472636,0.007436748416864147,-0.0775328345283545,-0.4842326012916872,100.0,13.0,50,50,-0.006084162962740641,-0.031408000290098104
26,-0.14827066863964516,-0.5684153857011485,7.0,13.0,50,50,-0.004281659241385932,0.0021660880414393624,-0.08115001988270018,-0.48219113947835635,100.0,14.0,50,50,-0.0036171853543456867,0.0020414618133308693
