,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,-0.003153467049464522,-0.40364378233140097,2.0,3.0,50,50,,,-0.001303984998434355,-0.16691007979953956,28.0,6.0,50,50,,
1,-0.006205366314787364,-0.3971078878459363,2.0,3.0,50,50,-0.003051899265322842,0.006535894485464655,-0.002744900258699664,-0.17572155236201698,28.0,5.0,50,50,-0.001440915260265309,-0.008811472562477413
2,-0.009372125930230594,-0.39990168892849065,2.0,3.0,50,50,-0.00316675961544323,-0.002793801082554337,-0.004640241121530208,-0.19840547164442657,27.0,6.0,50,50,-0.0018953408628305437,-0.022683919282409593
3,-0.012420716886232626,-0.39739423110017535,2.0,3.0,50,50,-0.0030485909560020313,0.002507457828315296,-0.006557099840392926,-0.21056522252585527,28.0,6.0,50,50,-0.001916858718862718,-0.012159750881428705
4,-0.015413788177596746,-0.3943649687117632,2.0,3.0,50,50,-0.0029930712913641203,0.0030292623884121683,-0.008946674837704147,-0.23078003305776973,28.0,6.0,50,50,-0.0023895749973112217,-0.020214810531914457
5,-0.01781509552772317,-0.3785421851463381,2.0,3.0,50,50,-0.0024013073501264245,0.015822783565425103,-0.011798971430688615,-0.25520851816681533,27.0,6.0,50,50,-0.0028522965929844678,-0.024428485109045606
6,-0.02038870854965937,-0.3706291435580137,2.0,3.0,50,50,-0.0025736130219361983,0.007913041588324399,-0.01464337930592179,-0.2727480703260135,27.0,6.0,50,50,-0.0028444078752331743,-0.01753955215919817
7,-0.022554182117127067,-0.35696736119381234,2.0,3.0,50,50,-0.002165473567467699,0.013661782364201347,-0.017031130195623488,-0.2775555794555007,27.0,6.0,50,50,-0.0023877508897016987,-0.004807509129487186
8,-0.023880256450415138,-0.3316578764697308,2.0,3.0,50,50,-0.0013260743332880708,0.025309484724081566,-0.019393807454039683,-0.2809170826707249,26.0,6.0,50,50,-0.0023626772584161952,-0.0033615032152242152
9,-0.025974781665450985,-0.3235955914697657,2.0,3.0,50,50,-0.0020945252150358466,0.008062284999965086,-0.02083459098682568,-0.2686766615904325,26.0,6.0,50,50,-0.001440783532785997,0.012240421080292385
