device_type,time,pose,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,IMU_id_E,accl_x_E,accl_y_E,accl_z_E,gyro_x_E,gyro_y_E,gyro_z_E,mag_x_E,mag_y_E,mag_z_E,device_type_H,time_H,pose_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,IMU_id_H,accl_x_H,accl_y_H,accl_z_H,gyro_x_H,gyro_y_H,gyro_z_H,mag_x_H,mag_y_H,mag_z_H
E,815.429330454,62.0,3.0,7.0,50,50,732.0,2.157421505620564,9.580581810781688,0.35401469469070435,-0.0066039781083166785,0.025820932354032804,-0.01854869443863634,-17.725149154663086,-60.508699740579885,-17.988416329001428,H,815.432691686,85.0,46.0,4.0,50,50,784.0,8.496353149414062,0.1342814415693283,4.956330839320913,0.0,0.01706849102302289,0.011760563271125672,-39.24586580462756,35.10898997776642,-28.956523701184295
E,815.478447886,62.0,3.0,7.0,50,50,732.0,2.138526751383859,9.592788059000746,0.34403847838644336,-0.005535966991824186,0.0277718435972929,-0.015539752974587474,-17.725149154663086,-60.66397330502488,-18.01248526637264,H,815.481681004,85.0,46.0,4.0,50,50,784.0,8.496292203252764,0.13428144156932828,4.980559442816059,0.0,0.012812441432728403,0.013875256728140576,-39.06228849525275,35.20615005493163,-29.06637490766206
E,815.537135480,63.0,3.0,7.0,50,50,732.0,2.1263184465926734,9.575064729933029,0.3218528657346571,-0.008832766167006813,0.028644849589534963,-0.010589035862209993,-17.794990681423723,-60.76505102993447,-18.199946713987835,H,815.540366106,85.0,47.0,4.0,50,50,784.0,8.484267036450683,0.1344033124889193,4.9684742865665585,0.0,0.011765621695512542,0.011776285400976754,-38.78340832524609,35.20615005493164,-29.17569351196289
E,815.586137776,63.0,3.0,7.0,50,50,732.0,2.1141119736281215,9.620485503283259,0.34732117152284236,-0.01135917046031897,0.022729551312572656,-0.007867490491653037,-17.740767602348058,-60.85049400490713,-18.158050774887126,H,815.589374016,85.0,47.0,4.0,50,50,784.0,8.508619551864307,0.1586368761152796,4.980620384216309,1.039027711897459e-05,0.0149384842136331,0.017085170147552637,-38.88058090209962,35.20656567188685,-29.175218533084198
E,815.635139820,63.0,3.0,7.0,50,50,732.0,2.13183008698332,9.631641387939453,0.35401469469070435,-0.010876842859322361,0.020490172574324964,-0.007477034814655781,-17.655327064683092,-60.796291223885106,-18.21999802022436,H,815.638523046,85.0,47.0,4.0,50,50,784.0,8.520535942596224,0.1465466633130054,4.9805625680160714,0.002105941229890431,0.011744567065409595,0.0160222165286541,-38.87971362296093,35.29119835690968,-29.077457174544328
E,815.684256958,63.0,3.0,7.0,50,50,732.0,2.1462687458254135,9.591748632726176,0.37396090186376146,-0.012426771434293611,0.01156834297396627,-0.006604388250834533,-17.50007416444293,-60.491442009137195,-18.4074035460461,H,815.687618484,85.0,47.0,4.0,50,50,784.0,8.471995949439982,0.15840715926886367,4.968413352966309,-0.004272591322660446,0.010656182947117955,0.016001980245438596,-38.69746780395508,35.20574534152998,-28.955961227416992
E,815.742944734,63.0,3.0,7.0,50,50,732.0,2.1983669947430347,9.562865550006528,0.3884023076530853,-0.012817773967981339,0.008740708937928561,-0.0046636439078757835,-17.53860301990968,-60.287025768086664,-18.44538688659668,H,815.746180750,85.0,46.0,4.0,50,50,784.0,8.484029527572382,0.09748576890536062,4.968297716048944,-0.0042827094664737095,0.005340739153325558,0.011749626137316227,-38.69833508309376,35.12064300191384,-28.9570019461226
E,815.791947170,63.0,3.0,7.0,50,50,732.0,2.2294856958735982,9.538451312934809,0.4105825262822314,-0.012817773967981339,0.0076725611072634495,-0.005145212860717889,-17.693864855104632,-60.26571363262562,-18.355631151018663,H,815.795180498,85.0,46.0,4.0,50,50,784.0,8.459730148315428,0.06074796236539397,4.943882714675206,-0.006439237530311885,0.00532556388016495,0.011744567712929357,-38.880985563701266,35.10895247870152,-29.17673410649765
E,815.840949298,63.0,3.0,7.0,50,50,732.0,2.3037644469060474,9.49409066574792,0.42502452843596983,-0.01630826012021111,0.006604413276598339,-0.0070859822294404426,-17.794959863759406,-60.47738027792372,-18.425275526227427,H,815.844183480,85.0,46.0,4.0,50,50,784.0,8.45973014831543,-0.00028124056650645355,4.919583320617676,-0.012803008837338585,0.0021461390817587253,0.010681478306651115,-38.965636396048,35.20615005493164,-29.39492146867835
E,815.890066408,63.0,3.0,7.0,50,50,732.0,2.3493211936755385,9.495124260411592,0.4372306463318049,-0.02145291377813993,0.003791357435044781,-0.01009456436360167,-17.74080041421294,-60.66390768275986,-18.525158339329174,H,815.893449256,85.0,47.0,4.0,50,50,784.0,8.459620766314982,-0.06098232250059805,4.919473936480861,-0.00960375925886535,0.004296519365462084,0.010681478306651115,-38.88058090209962,35.20653290902415,-29.28512306281743
