,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,-0.10670874343667772,-13.65871915989469,5.0,23.0,50,50,,,-0.2589932958495548,-33.15114186874296,14.0,8.0,50,50,,
1,-0.2002095330636369,-12.808786347061456,5.0,24.0,50,50,-0.09350078962695918,0.8499328128332344,-0.5905106047086284,-37.818067515454025,14.0,8.0,50,50,-0.33151730885907355,-4.666925646711064
2,-0.2648734517549006,-11.271766323056303,5.0,24.0,50,50,-0.06466391869126373,1.5370200240051535,-0.9332558330986952,-39.871129639023614,15.0,8.0,50,50,-0.3427452283900668,-2.053062123569589
3,-0.32160704774652504,-10.233290632994635,5.0,25.0,50,50,-0.05673359599162442,1.0384756900616683,-1.2003353335149312,-38.39883953139058,16.0,8.0,50,50,-0.26707950041623596,1.472290107633036
4,-0.3742768000519764,-9.492671621334013,5.0,25.0,50,50,-0.052669752305451345,0.7406190116606215,-1.3867568580821792,-35.315322210131654,16.0,8.0,50,50,-0.18642152456724803,3.083517321258924
5,-0.40446442222624723,-8.468953992037648,6.0,25.0,50,50,-0.030187622174270845,1.0237176292963657,-1.4928278245359456,-31.36165759578279,17.0,9.0,50,50,-0.10607096645376646,3.953664614348863
6,-0.3962771931672031,-6.935806391590364,6.0,26.0,50,50,0.008187229059044121,1.5331476004472835,-1.5530914633947275,-27.552048826576197,17.0,8.0,50,50,-0.06026363885878183,3.8096087692065943
7,-0.36653465916532785,-5.365246708444758,6.0,25.0,50,50,0.029742534001875265,1.5705596831456061,-1.5800967741578447,-24.029407017515876,18.0,9.0,50,50,-0.027005310763117185,3.522641809060321
8,-0.3325192166011956,-4.051414861492113,6.0,25.0,50,50,0.03401544256413225,1.3138318469526453,-1.6191928188529028,-21.457617191965596,17.0,9.0,50,50,-0.03909604469505812,2.5717898255502796
9,-0.2978504253926665,-2.9745999693550873,5.0,25.0,50,50,0.034668791208529115,1.0768148921370253,-1.6693980609268244,-19.550921579942617,16.0,9.0,50,50,-0.05020524207392163,1.906695612022979
10,-0.26648997481279124,-2.132872337957156,6.0,25.0,50,50,0.03136045057987524,0.8417276313979314,-1.7462561485455965,-18.38107180215441,16.0,9.0,50,50,-0.07685808761877211,1.1698497777882082
11,-0.24287513766533478,-1.5376740762853511,6.0,25.0,50,50,0.023614837147456463,0.5951982616718048,-1.8411197810623134,-17.660848964446608,16.0,10.0,50,50,-0.09486363251671692,0.7202228377078015
12,-0.2393339537256233,-1.3156502755490156,5.0,24.0,50,50,0.0035411839397114786,0.22202380073633554,-1.9370355598800393,-17.060484081943496,16.0,11.0,50,50,-0.09591577881772584,0.6003648825031114
13,-0.26980369760746525,-1.5957998880860593,5.0,22.0,50,50,-0.030469743881841954,-0.28014961253704374,-2.0531806873250087,-16.822671005882814,16.0,11.0,50,50,-0.11614512744496941,0.23781307606068225
14,-0.3354204390609169,-2.316286565201615,5.0,20.0,50,50,-0.06561674145345164,-0.7204866771155558,-2.1951360093712413,-16.965389629323926,16.0,10.0,50,50,-0.14195532204623262,-0.1427186234411124
15,-0.41690861721369865,-3.1593837228069086,5.0,18.0,50,50,-0.08148817815278175,-0.8430971576052935,-2.3442419624828648,-17.18568383520916,17.0,10.0,50,50,-0.14910595311162345,-0.22029420588523507
16,-0.49396731385954135,-3.845151016640911,6.0,17.0,50,50,-0.0770586966458427,-0.6857672938340023,-2.5193874912503813,-17.720963138610404,20.0,12.0,50,50,-0.17514552876751655,-0.5352793034012429
17,-0.5594215200480592,-4.302912628990074,8.0,16.0,50,50,-0.06545420618851788,-0.45776161234916346,-2.7257024869641517,-18.59825175721021,23.0,14.0,50,50,-0.20631499571377043,-0.8772886185998061
18,-0.6174149429776039,-4.614702753638567,11.0,16.0,50,50,-0.05799342292954468,-0.31179012464849265,-2.9691530775076305,-19.853650242740713,26.0,17.0,50,50,-0.24345059054347873,-1.2553984855305025
19,-0.6783610720358508,-4.930356746297589,15.0,17.0,50,50,-0.06094612905824692,-0.31565399265902183,-3.257257300444898,-21.540065266890366,29.0,19.0,50,50,-0.28810422293726745,-1.6864150241496532
20,-0.7453413964013951,-5.288694995064491,18.0,17.0,50,50,-0.06698032436554424,-0.358338248766902,-3.586838614105904,-23.570842364490513,31.0,20.0,50,50,-0.3295813136610062,-2.030777097600147
21,-0.8337761391168267,-5.8784395758211865,21.0,17.0,50,50,-0.08843474271543161,-0.5897445807566957,-3.9224063438267605,-25.46611981396187,33.0,22.0,50,50,-0.33556772972085636,-1.895277449471358
22,-0.9466017976506292,-6.711789017119667,24.0,17.0,50,50,-0.11282565853380255,-0.8333494412984805,-4.242646268034279,-26.976926667559876,35.0,25.0,50,50,-0.32023992420751846,-1.5108068535980053
23,-1.083192699631658,-7.755933007729264,26.0,17.0,50,50,-0.13659090198102886,-1.044143990609597,-4.520604263680918,-27.810712226040515,37.0,28.0,50,50,-0.2779579956466387,-0.8337855584806384
24,-1.2408770505124551,-8.956663396054788,28.0,18.0,50,50,-0.15768435088079702,-1.2007303883255238,-4.7797342509108836,-28.32838190098218,36.0,30.0,50,50,-0.25912998722996594,-0.5176696749416649
25,-1.4034252692836293,-10.098468453633883,32.0,19.0,50,50,-0.1625482187711742,-1.141805057579095,-5.088570444322847,-29.407856487650804,35.0,32.0,50,50,-0.3088361934119632,-1.0794745866686242
26,-1.530021172918074,-10.685519039714805,35.0,19.0,50,50,-0.12659590363444462,-0.5870505860809221,-5.476330667412322,-31.352458254249637,35.0,33.0,50,50,-0.387760223089475,-1.9446017665988329
27,-1.613573129097132,-10.686395388263564,36.0,21.0,50,50,-0.08355195617905808,-0.0008763485487595091,-5.917969041096564,-33.76875449953785,36.0,35.0,50,50,-0.44163837368424197,-2.416296245288212
28,-1.645521552469938,-10.054222253711801,37.0,23.0,50,50,-0.03194842337280601,0.6321731345517634,-6.44111715376216,-36.94966898485937,38.0,38.0,50,50,-0.5231481126655959,-3.180914485321523
29,-1.649952532214339,-9.146228156743271,39.0,25.0,50,50,-0.004430979744400876,0.9079940969685296,-6.932604761237191,-39.43433871830779,41.0,41.0,50,50,-0.4914876074750314,-2.4846697334484205
30,-1.68833824259686,-8.741521286729952,40.0,27.0,50,50,-0.03838571038252114,0.4047068700133192,-7.068806039485938,-37.33084611057392,44.0,42.0,50,50,-0.1362012782487474,2.1034926077338696
