,time,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,436.004392234,-0.012750520662277172,-1.6320666447714203,11.0,4.0,50,50,,,0.0035141828177196396,0.4498154006681718,36.0,10.0,50,50,,
1,436.053247404,-0.023983171692753033,-1.5343916207474486,11.0,4.0,50,50,-0.011232651030475861,0.09767502402397166,0.006907711781565326,0.44205131617183024,36.0,10.0,50,50,0.0033935289638456862,-0.007764084496341583
2,436.10292058,-0.033777340509556726,-1.4391757035547792,11.0,4.0,50,50,-0.009794168816803693,0.09521591719266942,0.00983442991287336,0.4191810888486079,37.0,10.0,50,50,0.002926718131308035,-0.02287022732322236
3,436.161052668,-0.044623839013792764,-1.4260133238220682,11.0,4.0,50,50,-0.010846498504236038,0.01316237973271095,0.01228581670798738,0.3918836545882826,36.0,11.0,50,50,0.0024513867951140196,-0.02729743426032527
4,436.210177996,-0.057342738945782984,-1.4688621609438322,11.0,5.0,50,50,-0.01271889993199022,-0.042848837121763905,0.015547361647801735,0.39731259255769774,35.0,11.0,50,50,0.0032615449398143547,0.005428937969415126
5,436.259204246,-0.07258203815434096,-1.5564842393469926,11.0,5.0,50,50,-0.015239299208557974,-0.0876220784031605,0.019751606546911136,0.42292633171540506,34.0,11.0,50,50,0.004204244899109401,0.025613739157707316
6,436.30832396,-0.0881562908828231,-1.6268868886604746,11.0,5.0,50,50,-0.015574252728482146,-0.07040264931348195,0.024041773121444208,0.44325919390062846,35.0,11.0,50,50,0.004290166574533072,0.0203328621852234
7,436.367009258,-0.10279749263576377,-1.6630245810376871,11.0,5.0,50,50,-0.01464120175294066,-0.03613769237721254,0.02963291132059449,0.48308388006667796,37.0,12.0,50,50,0.005591138199150282,0.039824686166049506
8,436.416012324,-0.11492009122276864,-1.6479748726646897,10.0,5.0,50,50,-0.012122598587004874,0.015049708372997461,0.03665065352988812,0.5392083299595537,38.0,12.0,50,50,0.007017742209293628,0.05612444989287574
9,436.46501413,-0.12403788348158652,-1.5869740101365077,10.0,5.0,50,50,-0.009117792258817883,0.06100086252818193,0.04249713768457305,0.5657375207126281,38.0,12.0,50,50,0.0058464841546849305,0.02652919075307436
10,436.514131576,-0.1325138510330349,-1.5265067960899492,10.0,5.0,50,50,-0.008475967551448374,0.060467214046558526,0.04779090780840848,0.5792106130934938,38.0,12.0,50,50,0.005293770123835431,0.013473092380865692
11,436.572818596,-0.14398932310184018,-1.5198516619255287,10.0,5.0,50,50,-0.011475472068805281,0.00665513416442054,0.0517425393434697,0.5707365554841511,39.0,11.0,50,50,0.003951631535061222,-0.008474057609342611
12,436.621821018,-0.15974165998051434,-1.5752138729639853,10.0,5.0,50,50,-0.015752336878674167,-0.05536221103845662,0.056875154782484734,0.5803535622636979,43.0,11.0,50,50,0.005132615439015033,0.0096170067795468
13,436.67082365,-0.18041272668422104,-1.6912726889605545,10.0,5.0,50,50,-0.020671066703706692,-0.1160588159965692,0.059956808689628376,0.5602023533988804,43.0,11.0,50,50,0.0030816539071436416,-0.020151208864817582
14,436.719940774,-0.20696082139836214,-1.872040132870597,9.0,5.0,50,50,-0.0265480947141411,-0.1807674439100424,0.06109227518969601,0.5162663365952276,42.0,11.0,50,50,0.0011354665000676348,-0.04393601680365278
15,436.778628158,-0.23654077132606963,-2.0709323238487594,9.0,5.0,50,50,-0.02957994992770749,-0.19889219097816246,0.05857989816443756,0.42921038097539427,40.0,11.0,50,50,-0.0025123770252584512,-0.08705595561983331
16,436.82748057,-0.26756194193252053,-2.2652611020506117,9.0,4.0,50,50,-0.031021170606450904,-0.19432877820185235,0.05181571528608928,0.29674182738446353,39.0,12.0,50,50,-0.006764182878348277,-0.13246855359093074
17,436.876482334,-0.29970606688101964,-2.452000376353306,9.0,5.0,50,50,-0.03214412494849911,-0.1867392743026941,0.04032049417070076,0.11818803224294185,38.0,13.0,50,50,-0.011495221115388525,-0.1785537951415217
18,436.925605002,-0.33503350916575814,-2.6588360861922062,10.0,5.0,50,50,-0.0353274422847385,-0.20683570983890043,0.022742656828126012,-0.11844916831945111,38.0,13.0,50,50,-0.017577837342574745,-0.23663720056239296
19,437.004413654,-0.3743441010756315,-2.8939042369639263,10.0,5.0,50,50,-0.03931059190987335,-0.23506815077172005,-0.00017224196097337732,-0.39727715739373426,37.0,14.0,50,50,-0.02291489878909939,-0.27882798907428313
20,437.05344066,-0.4181146291690506,-3.160334635446261,10.0,5.0,50,50,-0.043770528093419137,-0.26643039848233485,-0.030088242158115164,-0.7348462793427916,37.0,14.0,50,50,-0.029916000197141787,-0.3375691219490573
21,437.102294892,-0.4676174797821823,-3.4709069301069246,10.0,5.0,50,50,-0.0495028506131317,-0.3105722946606635,-0.0654280615107017,-1.1053244611559208,36.0,13.0,50,50,-0.03533981935258654,-0.3704781818131292
22,437.15141476,-0.5220631211626385,-3.8113350135231956,9.0,5.0,50,50,-0.05444564138045621,-0.34042808341627095,-0.10341290320570132,-1.4709187360879428,34.0,13.0,50,50,-0.03798484169499962,-0.365594274932022
23,437.210099456,-0.5776390605662064,-4.1314440786739555,10.0,5.0,50,50,-0.055575939403567864,-0.3201090651507599,-0.14161453649971198,-1.802320952878821,36.0,13.0,50,50,-0.03820163329401066,-0.33140221679087833
24,437.259225204,-0.6317937804229575,-4.402007995720958,10.0,5.0,50,50,-0.05415471985675113,-0.2705639170470029,-0.1785168110091211,-2.084557247374518,38.0,13.0,50,50,-0.03690227450940911,-0.28223629449569687
