,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,-0.01390917331662892,-1.7803741845284438,2.0,3.0,50,50,,,-0.01297698379733252,-1.6610539260585047,13.0,4.0,50,50,,
1,-0.02990390439591439,-1.9145799821166074,2.0,3.0,50,50,-0.015994731079285472,-0.13420579758816364,-0.024926202512434322,-1.5949171663562027,13.0,4.0,50,50,-0.011949218715101802,0.06613675970230193
2,-0.046505356470039845,-1.9859418508253703,2.0,3.0,50,50,-0.016601452074125455,-0.07136186870876293,-0.03500387450048298,-1.4914809106793245,13.0,4.0,50,50,-0.010077671988048657,0.1034362556768782
3,-0.06360052073683,-2.0383177819062888,2.0,3.0,50,50,-0.01709516426679015,-0.052375931080918425,-0.04366919824056741,-1.392467758150437,13.0,4.0,50,50,-0.008665323740084434,0.09901315252888754
4,-0.08118048262356306,-2.083269008725646,2.0,3.0,50,50,-0.017579961886733067,-0.04495122681935726,-0.05182224718554728,-1.3184649825463512,13.0,3.0,50,50,-0.008153048944979868,0.07400277560408575
5,-0.09924238804769042,-2.124855852562116,2.0,3.0,50,50,-0.01806190542412736,-0.041586843836470155,-0.058988761682722136,-1.2455052063820615,13.0,3.0,50,50,-0.007166514497174856,0.07295977616428972
6,-0.11896684681659184,-2.189274513383875,2.0,3.0,50,50,-0.019724458768901415,-0.06441866082175896,-0.06429280671312941,-1.1542296423622844,13.0,4.0,50,50,-0.005304045030407274,0.0912755640197771
7,-0.13862032477104122,-2.2369885345591434,2.0,3.0,50,50,-0.019653477954449383,-0.04771402117526824,-0.06906743524208428,-1.0748340367806166,13.0,4.0,50,50,-0.004774628528954869,0.0793956055816678
8,-0.1582030873829671,-2.2734333951103,2.0,3.0,50,50,-0.019582762611925875,-0.03644486055115648,-0.07197598091916255,-0.9798655766819672,13.0,4.0,50,50,-0.002908545677078267,0.09496846009864945
9,-0.17779082265445884,-2.303090032201817,2.0,3.0,50,50,-0.01958773527149174,-0.029656637091517002,-0.07442434934942212,-0.8953246559871259,13.0,3.0,50,50,-0.0024483684302595704,0.08454092069484131
