,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,-0.007883493023824224,-1.0090871070494425,6.0,30.0,50,50,,,-0.003911954995302213,-0.5007302393986252,31.0,4.0,50,50,,
1,-0.016455553939312643,-1.0533965022381724,6.0,31.0,50,50,-0.008572060915488419,-0.044309395188729894,-0.008106842842091368,-0.5189369894957114,32.0,4.0,50,50,-0.004194887846789156,-0.018206750097086277
2,-0.026248048613587663,-1.1212436030307809,6.0,32.0,50,50,-0.00979249467427502,-0.06784710079260847,-0.011134889273211917,-0.4743889449066826,32.0,4.0,50,50,-0.0030280464311205485,0.044548044589028835
3,-0.03585557146519571,-1.1493479528413868,6.0,32.0,50,50,-0.009607522851608048,-0.028104349810605944,-0.01582954628018533,-0.5071569651562565,32.0,4.0,50,50,-0.004694657006973413,-0.032768020249573926
4,-0.04459774898415863,-1.1429103713639042,6.0,33.0,50,50,-0.008742177518962918,0.0064375814774826345,-0.019626467820208087,-0.5026704811272357,32.0,4.0,50,50,-0.0037969215400227574,0.004486484029020854
5,-0.052803006535117915,-1.126061847532602,6.0,32.0,50,50,-0.008205257550959286,0.016848523831302087,-0.02295160122638399,-0.4886563133625507,31.0,4.0,50,50,-0.003325133406175903,0.014014167764684948
6,-0.06175394586104151,-1.1292287555017326,6.0,31.0,50,50,-0.008950939325923599,-0.00316690796913055,-0.02583270000807848,-0.46934469699483794,28.0,4.0,50,50,-0.002881098781694489,0.01931161636771278
7,-0.07001994294690306,-1.1188223733126255,6.0,31.0,50,50,-0.008265997085861544,0.010406382189107166,-0.028741145290163708,-0.45515439137237756,28.0,4.0,50,50,-0.0029084452820852293,0.014190305622460375
8,-0.07815401475717891,-1.1083242367938446,6.0,30.0,50,50,-0.008134071810275853,0.010498136518780843,-0.03215175070441828,-0.4526404870811561,28.0,4.0,50,50,-0.003410605414254572,0.002513904291221447
9,-0.08628665416633564,-1.0997814842584561,7.0,31.0,50,50,-0.008132639409156733,0.008542752535388498,-0.03641761937770122,-0.46448690731237524,25.0,4.0,50,50,-0.004265868673282942,-0.011846420231219124
10,-0.09441826494035441,-1.0926832817835257,7.0,32.0,50,50,-0.008131610774018763,0.007098202474930426,-0.04014878599122304,-0.46606497031269917,23.0,4.0,50,50,-0.0037311666135218177,-0.001578063000323926
11,-0.10336812966486045,-1.0987903899334093,7.0,33.0,50,50,-0.00894986472450604,-0.006107108149883578,-0.04251680342079986,-0.44725177792339676,21.0,4.0,50,50,-0.0023680174295768186,0.018813192389302402
12,-0.11244964025472387,-1.105887647116047,6.0,32.0,50,50,-0.009081510589863423,-0.007097257182637762,-0.044469387852069,-0.42524718300535114,19.0,4.0,50,50,-0.0019525844312691387,0.022004594918045628
13,-0.12071174534186928,-1.100647930462777,6.0,31.0,50,50,-0.008262105087145408,0.0052397166532700545,-0.04689568420615812,-0.4128160766758952,21.0,4.0,50,50,-0.0024262963540891205,0.012431106329455932
14,-0.12966246554318278,-1.1054183411012346,7.0,32.0,50,50,-0.008950720201313503,-0.004770410638457623,-0.049796931749153145,-0.40842563869125453,22.0,4.0,50,50,-0.0029012475429950266,0.004390437984640672
15,-0.13874502229601912,-1.1113563378657743,7.0,34.0,50,50,-0.00908255675283634,-0.005937996764539655,-0.05320473332401672,-0.4113113582180555,21.0,4.0,50,50,-0.0034078015748635754,-0.002885719526800945
16,-0.1482384349568491,-1.121974118546777,7.0,34.0,50,50,-0.00949341266082998,-0.01061778068100283,-0.05759616310065843,-0.42673587899237425,21.0,4.0,50,50,-0.0043914297766417115,-0.015424520774318773
17,-0.15779830382598795,-1.1322431444693122,7.0,34.0,50,50,-0.009559868869138843,-0.010269025922535091,-0.06326410650912324,-0.45690610660763054,23.0,4.0,50,50,-0.005667943408464812,-0.030170227615256284
18,-0.16735868401747028,-1.1413848231104133,7.0,34.0,50,50,-0.009560380191482337,-0.009141678641101159,-0.06807245166646736,-0.4727504010954456,24.0,4.0,50,50,-0.0048083451573441155,-0.015844294487815047
19,-0.17650858279860013,-1.1443371156022057,7.0,33.0,50,50,-0.009149898781129845,-0.0029522924917924076,-0.07329692874589655,-0.4921649995260172,25.0,4.0,50,50,-0.005224477079429191,-0.01941459843057164
20,-0.18559265515164974,-1.1461493170713608,7.0,32.0,50,50,-0.009084072353049616,-0.0018122014691550614,-0.0780758968684128,-0.5039232574326856,27.0,4.0,50,50,-0.004778968122516256,-0.011758257906668401
21,-0.19467679377062874,-1.14777456730364,7.0,32.0,50,50,-0.009084138618978999,-0.0016252502322791074,-0.08288594715746182,-0.5148521669455594,29.0,4.0,50,50,-0.004810050289049017,-0.01092890951287373
22,-0.2033499539088688,-1.1441144674777837,7.0,33.0,50,50,-0.008673160138240071,0.0036600998258562445,-0.0880816626724858,-0.5294691265247626,31.0,5.0,50,50,-0.0051957155150239714,-0.014616959579203281
23,-0.21154570928937497,-1.1349002618119728,7.0,33.0,50,50,-0.008195755380506153,0.009214205665810882,-0.09220086453209425,-0.5292547803950703,32.0,5.0,50,50,-0.004119201859608457,0.00021434612969228883
24,-0.21967509333816523,-1.1257854491386945,7.0,32.0,50,50,-0.008129384048790267,0.009114812673278294,-0.09370089714801814,-0.49667045451786707,32.0,4.0,50,50,-0.0015000326159238936,0.03258432587720328
25,-0.22821543582132023,-1.1226420680922657,7.0,31.0,50,50,-0.008540342483154995,0.0031433810464287504,-0.09609374530243929,-0.4783250884635709,33.0,5.0,50,50,-0.0023928481544211455,0.018345366054296153
26,-0.2364107790169959,-1.1155620357252887,8.0,27.0,50,50,-0.008195343195675664,0.007080032366977074,-0.09848618922276277,-0.4617790590028973,36.0,5.0,50,50,-0.002392443920323478,0.016546029460673628
27,-0.24371721910224617,-1.0982547739270705,9.0,24.0,50,50,-0.0073064400852502764,0.017307261798218176,-0.10087830347055299,-0.44684701922197667,43.0,5.0,50,50,-0.0023921142477902196,0.014932039780920614
28,-0.2513019498986528,-1.0860454776129198,10.0,23.0,50,50,-0.007584730796406619,0.012209296314150686,-0.10330065221701898,-0.4337391351609771,47.0,15.0,50,50,-0.002422348746465991,0.013107884060999553
