,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,-0.01255522965318099,-1.607069395607109,4.0,5.0,50,50,,,-0.0065465763182067285,-0.8379617687304033,12.0,8.0,50,50,,
1,-0.02590337980586558,-1.6580938888939418,4.0,5.0,50,50,-0.01334815015268459,-0.051024493286832895,-0.01454386177589368,-0.9313150100640595,12.0,8.0,50,50,-0.007997285457686952,-0.09335324133365619
2,-0.03927716002572082,-1.6763238875075999,4.0,5.0,50,50,-0.01337378021985524,-0.01822999861365804,-0.022644918881279508,-0.9671374966779593,12.0,8.0,50,50,-0.008101057105385827,-0.03582248661389986
3,-0.05397373406078266,-1.7293727561357586,4.0,5.0,50,50,-0.01469657403506184,-0.05304886862815872,-0.03163552914296725,-1.0147019499711332,12.0,9.0,50,50,-0.008990610261687744,-0.047564453293173825
4,-0.06890953590752626,-1.768064955258136,4.0,5.0,50,50,-0.014935801846743597,-0.038692199122377424,-0.04113841910083529,-1.0574791122263527,12.0,9.0,50,50,-0.009502889957868035,-0.04277716225521955
5,-0.08338422571156932,-1.783469007769099,4.0,5.0,50,50,-0.014474689804043067,-0.015404052510962885,-0.05156426698977337,-1.1078641241088802,12.0,9.0,50,50,-0.010425847888938085,-0.05038501188252753
6,-0.09905268615496132,-1.8192476839508387,4.0,5.0,50,50,-0.015668460443392,-0.0357786761817398,-0.06161611834596756,-1.136663902297359,12.0,9.0,50,50,-0.010051851356194186,-0.028799778188478786
7,-0.1149532335806365,-1.8508292500583838,4.0,5.0,50,50,-0.015900547425675177,-0.031581566107545145,-0.07208748017696615,-1.1664396615883859,12.0,9.0,50,50,-0.010471361830998588,-0.029775759291026827
8,-0.1300517121776427,-1.861883623724127,4.0,5.0,50,50,-0.015098478597006193,-0.011054373665743134,-0.081704260185712,-1.175159792564542,12.0,9.0,50,50,-0.009616780008745857,-0.008720130976156204
9,-0.14487135124163217,-1.8663271301698827,4.0,5.0,50,50,-0.014819639063989476,-0.004443506445755752,-0.09126360436358846,-1.1813038336462265,12.0,9.0,50,50,-0.009559344177876461,-0.006144041081684426
10,-0.15969152534943024,-1.870019254964475,4.0,4.0,50,50,-0.014820174107798068,-0.003692124794592244,-0.10171404243478055,-1.2001349884128485,12.0,9.0,50,50,-0.010450438071192086,-0.018831154766622005
11,-0.1741775571742646,-1.8681943540984112,4.0,5.0,50,50,-0.014486031824834378,0.0018249008660637944,-0.10999811599125153,-1.1839984673884347,12.0,9.0,50,50,-0.008284073556470983,0.016136521024413764
12,-0.18818812003863328,-1.859848182617773,4.0,5.0,50,50,-0.014010562864368664,0.008346171480638098,-0.11902448094762288,-1.1808064392583524,12.0,9.0,50,50,-0.009026364956371352,0.003192028130082347
13,-0.20172239563445882,-1.8460317995202284,4.0,5.0,50,50,-0.01353427559582554,0.013816383097544627,-0.1285556941815239,-1.18505439453279,12.0,9.0,50,50,-0.00953121323390102,-0.004247955274437665
