device_type,time,pose,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,IMU_id_E,accl_x_E,accl_y_E,accl_z_E,gyro_x_E,gyro_y_E,gyro_z_E,mag_x_E,mag_y_E,mag_z_E,device_type_H,time_H,pose_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,IMU_id_H,accl_x_H,accl_y_H,accl_z_H,gyro_x_H,gyro_y_H,gyro_z_H,mag_x_H,mag_y_H,mag_z_H
E,1205.657023878,38.0,2.0,14.0,20,45,5605.0,4.418089218547337,7.159911638946124,4.688127356882851,-0.19923123823731287,-0.011492466778621606,0.016875586803951508,-8.130130767822266,-38.075871440126264,-35.52939850814392,H,1205.660523640,83.0,100.0,44.0,20,45,806.0,7.204007313630291,3.4857724210758425,6.589011022794599,-0.2047024429103901,-0.12091909330269085,0.43366801738739014,25.93357829219812,-29.365696866386237,8.08336839174098
E,1205.706025894,39.0,2.0,14.0,20,45,5605.0,4.719865530160795,6.650112308379615,4.695457146851785,-0.16197516183025354,-0.017774111181478498,0.03695769521100522,-8.225833062340548,-37.942567282488554,-35.524522624359506,H,1205.709524228,82.0,100.0,41.0,20,45,806.0,6.687624359167478,3.359348299590906,6.19678465871153,-0.19041358014197016,-0.07142850873844275,0.46510544686300354,25.83271577772343,-29.1791621483686,7.961539500351372
E,1205.755140638,39.0,2.0,14.0,20,45,5605.0,4.726224272073833,6.514845546528088,4.8888064782018015,-0.09498230884852703,0.021531524666633068,0.03567651941257548,-8.39673417822646,-37.778501018219984,-35.48692321777344,H,1205.758641170,82.0,100.0,36.0,20,45,806.0,5.707383149230535,3.2372747023045805,6.0933442650485885,-0.16707625615096253,-0.13022871389870636,0.46152079344955516,25.83086585998535,-29.17569351196289,8.067012257778638
E,1205.813830962,39.0,2.0,13.0,20,45,5605.0,4.534825244806878,6.79069144165461,4.710651271354218,-0.07677620242474266,0.03345714563563947,0.033368544554346444,-8.471938133239746,-37.70866775512695,-35.5416017171974,H,1205.817429858,83.0,100.0,32.0,20,45,806.0,5.90419288531745,3.199038116235854,6.28308790245481,-0.154057732485373,-0.22987325048570242,0.48344317465757386,25.83086585998535,-29.17569351196289,8.488204978758311
E,1205.862832978,40.0,2.0,13.0,20,45,5605.0,4.60749338141237,5.4436894954547626,5.510944081597661,0.012860968255130174,0.07051935188218643,0.029269765667752717,-8.376272047514924,-37.74966826877052,-35.48208138666283,H,1205.866478242,83.0,100.0,29.0,20,45,806.0,6.471115754719627,2.9708519317300315,6.634030537524114,-0.1559085635446669,-0.27474134247266085,0.476537487570339,25.747053419782304,-29.18766618321193,8.711867779451373
E,1205.911835260,40.0,2.0,13.0,20,45,5605.0,4.087359346908181,7.346337340153099,4.897844202493129,0.07751189380781154,0.08251732431000165,-0.017881186198023,-8.205375438798116,-37.87757175842606,-35.29214492434501,H,1205.915335666,83.0,100.0,26.0,20,45,806.0,8.92431202896667,3.074142207382858,6.928142676139235,-0.15909209605423205,-0.04932127640740325,0.4711564025850832,25.64964208526006,-29.008328299020114,8.716086387634277
E,1205.960950074,40.0,2.0,12.0,20,45,5605.0,4.382910898191287,8.948580835492281,4.12341668445923,-0.071262981469922,-0.03715060164497383,0.005517487434919671,-8.082308660726397,-37.952816009521484,-35.26080419659035,H,1205.964449514,83.0,100.0,24.0,20,45,806.0,6.960981250953894,2.860752023635364,6.131615716323491,-0.20001180583689585,0.12904527284812567,0.49514879395219735,25.46815988840756,-28.729411810983724,9.015410086910515
E,1206.039640272,41.0,2.0,13.0,20,45,5605.0,4.996749110814628,7.4910303181653255,5.074875702245671,-0.12385988057674602,-0.0019184553738425397,0.05916890645531561,-8.044678688049316,-37.90499901615876,-35.35162924767884,H,1206.043051232,83.0,100.0,22.0,20,45,806.0,3.845322720254508,2.2101555482670574,6.283488318533857,-0.08036424673279444,-0.20585015377624274,0.4641994749733881,25.285094215035713,-28.556440317755865,9.236729680957897
E,1206.088642596,41.0,2.0,13.0,20,45,5605.0,4.768858782661933,7.419249761704215,4.955705738702352,-0.1177670927812451,0.07576111608845132,0.052477733817957097,-8.044678688049316,-37.819548966346616,-35.39609396590415,H,1206.092152788,82.0,100.0,21.0,20,45,806.0,7.435576150029985,2.915617505195519,7.100868860107273,0.01734759054878673,-0.23770138986657668,0.3944412289851912,25.197733078032233,-28.636916924768308,9.025518571562811
E,1206.137644864,41.0,2.0,12.0,20,45,5605.0,4.766119031679063,7.261951872280665,4.7494064683005925,-0.13843958878091403,0.08761355387313026,0.0500249235136878,-8.099321285883585,-37.73410075051444,-35.50392418815976,H,1206.141293180,82.0,100.0,19.0,20,45,806.0,8.18975050515887,3.2648913681827487,6.350939867592297,-0.0813077281803438,0.006855611668292749,0.3920311562837101,25.196081161499023,-28.734314865305628,8.81780889304605
E,1206.186759230,41.0,2.0,13.0,20,45,5605.0,4.75859698451081,6.772209257673113,4.946477435023882,-0.12899217546359945,0.09763532400604158,0.0542218312635419,-8.094537563509485,-37.69646072387695,-35.687009382284536,H,1206.190259174,82.0,100.0,19.0,20,45,806.0,7.401395011689901,2.7209708623796978,6.503220279914837,-0.08855233962035121,0.18246961576546253,0.4035312223451236,25.2918389168611,-28.73622703552246,8.813745498657227
E,1206.245449638,42.0,2.0,13.0,20,45,5605.0,4.6168844630275085,6.764348330280443,5.0151642460854795,-0.11396721327420814,0.09233147749382596,0.041586391352159024,-8.009095389905246,-37.69646072387695,-35.7199014364849,H,1206.248949904,82.0,100.0,18.0,20,45,806.0,5.865693236849697,2.6023420862813484,6.781782840565706,-0.008029836156322795,0.1335028915765922,0.41318374040000483,25.37750822545196,-28.640493546235216,8.909479922823568
E,1206.294452186,42.0,2.0,13.0,20,45,5605.0,4.528546466116989,6.911635593127215,5.022223880528092,-0.09465077608198205,0.09663914533590182,0.02594493117727483,-7.971434116363525,-37.648675711316976,-35.57984551488705,H,1206.297952648,83.0,100.0,18.0,20,45,806.0,5.9787396948824645,3.0549136865950826,6.524047777216921,-0.01269143390198869,0.024599941257107003,0.39661975824491097,25.367224091697338,-28.459067406192904,8.911404609680176
E,1206.343454160,43.0,2.0,13.0,20,45,5605.0,4.466463956221196,6.944165251591098,4.947933621053094,-0.08460152140520336,0.09503001209017929,0.023878730312724254,-7.971434116363525,-37.563223515868174,-35.45134394123984,H,1206.347053140,83.0,100.0,18.0,20,45,806.0,6.460298056243569,3.0281579626931086,6.674321284003582,-0.030618322656012564,0.034996199174567144,0.38581193834009136,25.36698341369629,-28.18022134910775,8.899437283956876
E,1206.392568722,43.0,2.0,13.0,20,45,5605.0,4.530791819911904,6.864496523174665,5.013707002695675,-0.07448242850955464,0.09557100029920443,0.023717174255255165,-7.882691816744725,-37.42998844655973,-35.51607123315983,H,1206.396216982,82.0,100.0,20.0,20,45,806.0,6.218621818822772,2.991535676850213,6.78515049291768,-0.02678792154596698,0.06770870417329786,0.3719891637136432,25.355017022847274,-27.99518495990384,8.887230233906845
E,1206.451259270,44.0,2.0,12.0,20,45,5605.0,4.528552665505358,6.902958480260706,5.037326018015544,-0.06179177825168897,0.09515703998265729,0.013001541336697918,-7.717178893345658,-37.40243259552986,-35.69917231734081,H,1206.454759368,82.0,100.0,22.0,20,45,806.0,5.926439458584889,2.966886375088932,6.667679303376486,-0.04135921892300267,0.06312734450423141,0.3486853189897989,25.450486745314432,-28.17103076951413,8.898952921546876
E,1206.500261468,45.0,2.0,12.0,20,45,5605.0,4.507412403234595,6.952836453350176,5.059626518505322,-0.05362638001982623,0.09365198430363283,0.002826340484621429,-7.689601687296351,-37.48787339959634,-35.72530794595251,H,1206.503759844,82.0,100.0,23.0,20,45,806.0,6.040242112105642,2.88264280314208,6.6891727243613195,-0.0489864255081194,0.04731644637002299,0.32832411640112535,25.536191897330614,-27.995208864770003,8.779544913346019
E,1206.549263596,45.0,2.0,13.0,20,45,5605.0,4.542589809469479,6.9104683372651845,5.048121405215418,-0.04291457774394852,0.09446826161887999,0.0,-7.727286338806152,-37.52555847167969,-35.73681317159374,H,1206.552764324,82.0,100.0,23.0,20,45,806.0,6.305831319754283,2.785250182770572,6.713581210242106,-0.03971462301377875,0.05432530880376739,0.30489429040488486,25.442189708462696,-27.812143146396753,8.561804170830644
