,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,-0.18489340092326115,-23.66635531817737,2.0,16.0,50,50,,,-0.5902198029044619,-75.54813477177106,100.0,100.0,50,50,,
1,-0.3895756875992505,-24.939771592413543,2.0,23.0,50,50,-0.20468228667598934,-1.2734162742361725,-1.2252121102186462,-78.42924877010672,100.0,100.0,50,50,-0.6349923073141843,-2.881113998335664
2,-0.5958923008643522,-25.43791875946788,2.0,31.0,50,50,-0.2063166132651017,-0.4981471670543378,-1.8436695975760742,-78.67796018154912,100.0,100.0,50,50,-0.618457487357428,-0.24871141144240028
3,-0.8041594515940818,-25.753946153956594,2.0,39.0,50,50,-0.20826715072972957,-0.31602739448871375,-2.4376151334763354,-77.99090357293252,100.0,100.0,50,50,-0.5939455359002612,0.6870566086166008
4,-1.0130602872437118,-25.96295773044069,2.0,53.0,50,50,-0.20890083564963002,-0.20901157648409452,-3.034854108177896,-77.6633284651639,100.0,100.0,50,50,-0.5972389747015607,0.32757510776862375
5,-1.2232850506277402,-26.13497826316161,2.0,68.0,50,50,-0.2102247633840284,-0.17202053272092144,-3.6570853406782304,-78.02385574366299,100.0,100.0,50,50,-0.6222312325003343,-0.3605272784990916
6,-1.4330738132824508,-26.250643261923223,2.0,91.0,50,50,-0.20978876265471058,-0.11566499876161274,-4.254261886265406,-77.76847537539736,100.0,100.0,50,50,-0.5971765455871751,0.2553803682656337
7,-1.642655847576703,-26.334831156704865,2.0,100.0,50,50,-0.20958203429425226,-0.08418789478164257,-4.850622676628137,-77.55878758282775,100.0,100.0,50,50,-0.5963607903627315,0.20968779256961056
8,-1.8548815465362283,-26.44703734876718,2.0,100.0,50,50,-0.21222569895952526,-0.11220619206231319,-5.455472284873544,-77.54012782415114,100.0,100.0,50,50,-0.6048496082454067,0.01865975867660552
9,-2.0667717275321045,-26.53264777549629,2.0,100.0,50,50,-0.2118901809958762,-0.08561042672911157,-6.045614780842611,-77.28619237077254,100.0,100.0,50,50,-0.5901424959690669,0.25393545337860246
10,-2.2742072275556637,-26.534947736258836,2.0,100.0,50,50,-0.20743550002355926,-0.002299960762545794,-6.635311829901171,-77.06880072193171,100.0,100.0,50,50,-0.58969704905856,0.21739164884083095
11,-2.4804125094697693,-26.51870753429404,2.0,100.0,50,50,-0.2062052819141056,0.01624020196479492,-7.2196972637253936,-76.8070273486382,100.0,100.0,50,50,-0.5843854338242229,0.2617733732935079
12,-2.6816865854037415,-26.434442593257995,2.0,100.0,50,50,-0.20127407593397217,0.08426494103604654,-7.793083482249599,-76.42635470546226,100.0,100.0,50,50,-0.5733862185242051,0.3806726431759415
13,-2.8758557413882766,-26.26308959155782,2.0,100.0,50,50,-0.1941691559845351,0.17135300170017587,-8.355022157763894,-75.93876274645177,100.0,100.0,50,50,-0.5619386755142957,0.48759195901048713
14,-3.0634201363550595,-26.024290077282696,2.0,100.0,50,50,-0.1875643949667829,0.23879951427512225,-8.905793795831348,-75.36264042726458,100.0,100.0,50,50,-0.5507716380674541,0.576122319187192
15,-3.2452202693875245,-25.73815189090203,2.0,100.0,50,50,-0.181800133032465,0.2861381863806649,-9.449012947067194,-74.75681940647426,100.0,100.0,50,50,-0.5432191512358457,0.6058210207903159
16,-3.420704690392303,-25.403033991453896,2.0,100.0,50,50,-0.17548442100477857,0.33511789944813586,-9.990765910697199,-74.20317938458606,100.0,100.0,50,50,-0.5417529636300049,0.5536400218881994
17,-3.588722863068662,-25.009526765796128,2.0,100.0,50,50,-0.168018172676359,0.39350722565776763,-10.53064480645342,-73.6882914933407,100.0,100.0,50,50,-0.5398788957562211,0.5148878912453654
18,-3.751617542117137,-24.59393844983672,2.0,97.0,50,50,-0.16289467904847488,0.4155883159594076,-11.064466547160784,-73.1527832581716,100.0,100.0,50,50,-0.5338217407073635,0.5355082351691038
19,-3.911191499698955,-24.180997807472195,2.0,85.0,50,50,-0.15957395758181825,0.412940642364525,-11.594180613257445,-72.62285823224182,100.0,100.0,50,50,-0.5297140660966608,0.5299250259297708
20,-4.067851757184773,-23.774919475451686,2.0,73.0,50,50,-0.15666025748581758,0.4060783320205097,-12.12354036028566,-72.14435479786479,100.0,100.0,50,50,-0.5293597470282148,0.478503434377032
