,psi_gyro_E,filtered_gyro_z_E,Bi_cl_effort,Tr_op_effort,Bi_cl_E_T,Tr_op_E_T,del_psi_gyro_E,del_gyro_z_deg_E,psi_gyro_H,filtered_gyro_z_H,Cl_cl_effort,Op_op_effort,Cl_cl_E_T,Op_op_E_T,del_psi_gyro_H,del_gyro_z_deg_H
0,-4.47335050794133e-16,6.650250697605659e-16,2.0,6.0,50,50,,,-0.005377665463625755,-0.6883411793440388,14.0,21.0,50,50,,
1,0.00023053787898933055,0.014835129708728365,2.0,6.0,50,50,0.0002305378789897779,0.0148351297087277,-0.01269428030292982,-0.8131127162947281,14.0,21.0,50,50,-0.007316614839304065,-0.12477153695068932
2,0.0014263833351195086,0.06171866436683164,2.0,6.0,50,50,0.001195845456130178,0.04688353465810328,-0.022958451890414632,-0.982932001151767,14.0,22.0,50,50,-0.010264171587484812,-0.1698192848570389
3,0.0019749921470287595,0.06392084080143717,2.0,7.0,50,50,0.0005486088119092509,0.0022021764346055323,-0.03235304921176999,-1.039797943702575,14.0,22.0,50,50,-0.00939459732135536,-0.05686594255080801
4,0.0019843926976411894,0.05061739081222033,2.0,7.0,50,50,9.400550612429903e-06,-0.013303449989216842,-0.040826568702252944,-1.0493034384004771,14.0,25.0,50,50,-0.008473519490482952,-0.009505494697902073
5,0.0021903208271445455,0.04620533461958485,2.0,8.0,50,50,0.00020592812950335614,-0.0044120561926354815,-0.048361080969798846,-1.0338647333224018,14.0,28.0,50,50,-0.007534512267545902,0.015438705078075321
6,0.0022663459754283972,0.04032946228739472,2.0,8.0,50,50,7.602514828385174e-05,-0.005875872332190127,-0.05501074800114703,-1.0044311181850114,15.0,28.0,50,50,-0.006649667031348186,0.0294336151373904
7,0.0015964000479703367,0.021896724053556776,2.0,8.0,50,50,-0.0006699459274580606,-0.018432738233837946,-0.06112011055669932,-0.9719123895387362,15.0,28.0,50,50,-0.006109362555552285,0.03251872864627525
8,0.0002491739551939594,-0.004374126804579982,2.0,8.0,50,50,-0.0013472260927763773,-0.026270850858136758,-0.06652659620058655,-0.9340782777075655,15.0,28.0,50,50,-0.005406485643887238,0.03783411183117069
9,-0.0014464019990643574,-0.031349562784811026,2.0,8.0,50,50,-0.0016955759542583168,-0.026975435980231045,-0.07312533076110035,-0.9227329638930708,16.0,29.0,50,50,-0.006598734560513797,0.011345313814494662
